"ASMEB18.2.2.10Adef"
"ASMEB18.2.2.10Bdef"
"Dia","P","da","e","m_a","m_b","s"
"1/4in",1.27,6.985,14.3891,5.9436,4.3688,12.5476
"5/16in",1.41111111111111,8.73125,16.1544,7.5438,5.1562,14.0716
"3/8in",1.5875,10.4775,19.7739,9.1186,5.9436,17.2339
"7/16in",1.81428571428571,12.22375,21.5392,10.7188,6.7564,18.7706
"1/2in",1.95384615384615,13.97,25.1333,12.2936,7.5438,21.9075
"9/16in",2.11666666666667,15.71625,26.924,13.8938,8.3312,23.4569
"5/8in",2.30909090909091,17.4625,30.5054,15.4686,9.1186,26.5811
"3/4in",2.54,20.955,35.8775,18.6436,10.7188,31.2674
"7/8in",2.82222222222222,24.4475,41.2623,21.8186,12.2936,35.9664
"1in",3.175,27.94,46.6344,24.9936,13.8938,40.64
"1 1/8in",3.62857142857143,31.4325,52.0065,28.1686,15.4686,45.3136
"1 1/4in",3.62857142857143,34.925,57.3786,30.9626,18.2626,50.0126
"1 3/8in",4.23333333333333,38.4175,62.7634,34.1376,19.8374,54.6989
"1 1/2in",4.23333333333333,41.91,68.1228,37.3126,21.4376,59.3725
"1 5/8in",5.08,45.4025,73.4949,40.4876,23.0124,64.0461
"1 3/4in",5.08,48.895,78.867,43.6626,24.6126,68.7324
"1 7/8in",5.64444444444444,52.3875,84.2518,46.8376,26.1874,73.4314
"2in",5.64444444444444,55.88,89.6239,50.0126,27.7876,78.105
"2 1/8in",5.997222,59.3725,94.996,52.9844,29.1719,82.7913
"2 1/4in",6.35,62.865,100.3681,55.9562,30.5562,87.4776
"2 1/2in",6.35,69.85,111.1123,62.3062,36.9062,96.8375
"2 3/4in",6.35,76.835,121.8565,68.6562,40.0812,106.1974
"3in",6.35,83.82,132.6134,75.0062,43.2562,115.57
"3 1/4in",6.35,90.805,143.3703,80.9752,46.0248,124.9426
"3 1/2in",6.35,97.79,154.1145,87.3252,49.2252,134.3025
"3 3/4in",6.35,104.775,164.8587,93.6752,52.3748,143.6624
"4in",6.35,111.76,175.6156,100.0252,55.5752,153.035
