"ASMEB18.2.5Mdef"
"Dia","Pitch","S_Max","S_Min","K_Max","K_Min","Kw_Min","Dc_Max","Dc_Min","C_Max","C_Min","R1_Min","Da_Max","WireDia_Min"
"M5",0.8,5.00,4.79,5.00,4.88,2.63,8.72,8.27,2.25,2.00,0.20,5.7,4.36
"M6",1.0,6.00,5.79,6.00,5.82,3.12,10.22,9.77,2.70,2.45,0.25,6.8,5.21
"M8",1.25,8.00,7.78,8.00,7.78,4.18,13.27,12.72,3.60,3.35,0.40,9.2,7.04
"M10",1.5,10.00,9.78,10.00,9.78,5.28,16.27,15.69,4.50,4.13,0.40,11.2,8.86
"M12",1.75,12.00,11.79,12.00,11.73,6.33,18.27,17.67,5.40,5.03,0.60,13.7,10.68
"M14",2.0,14.00,13.79,14.00,13.73,7.43,21.33,20.67,6.30,5.93,0.60,15.7,12.50
"M16",2.0,16.00,15.81,16.00,15.73,8.53,24.33,23.62,7.20,6.83,0.60,17.7,14.50
"M20",2.5,20.00,19.82,20.00,19.67,10.67,30.33,29.55,9.00,8.50,0.80,22.4,18.16
"M24",3.0,24.00,23.75,24.00,23.67,12.87,36.39,35.52,10.80,10.30,0.80,26.4,21.80
"M30",3.5,30.00,29.72,30.00,29.67,16.17,45.39,44.52,13.50,13.00,1.00,33.4,27.46
"M36",4.0,36.00,35.70,36.00,35.57,19.37,54.46,52.75,16.20,15.60,1.00,39.4,33.12

"ASMEB18.2.5Mlength"
"Nominal","Min","Max"
"10",9.71,10.29
"12",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,140.8
"150",149.2,150.8
"160",159.2,160.8
"180",179.2,180.8
"200",199.1,200.9

"ASMEB18.2.5Mrange"
"Dia","Min_L","Max_L"
"M5","10","50"
"M6","12","60"
"M8","16","80"
"M10","20","100"
"M12","25","120"
"M14","25","140"
"M16","30","160"
"M20","40","200"
"M24","50","200"
"M30","60","200"
"M36","70","200"
