"Dia","A_max","A_min","B_max","T_min","W_min","BW_min"
"#2",2.3876,2.2352,4.6228,0.635,1.016,0.7112
"#3",2.7178,2.5654,5.3086,0.7874,1.1938,0.8382
"#4",3.048,2.8956,5.6642,0.7874,1.1938,0.8382
"#5",3.3782,3.2258,6.4008,1.016,1.397,0.9652
"#6",3.7592,3.5814,6.7564,1.016,1.397,0.9652
"#8",4.4196,4.2418,7.7978,1.1938,1.5748,1.0922
"#10",5.08,4.9022,8.89,1.4224,1.778,1.2446
"#12",5.7658,5.588,9.9314,1.6002,1.9558,1.3716
"1/4in",6.604,6.4008,12.4206,1.9558,2.794,1.9558
"5/16in",8.1788,7.9756,15.0622,2.4638,3.302,2.3114
"3/8in",9.779,9.5758,17.4752,2.921,3.683,2.5654
"7/16in",11.43,11.176,19.9136,3.3782,4.064,2.8448
"1/2in",13.0048,12.7508,22.3266,3.8354,4.4704,3.1242
"9/16in",14.5796,14.3256,24.765,4.318,4.9022,3.429
"5/8in",16.2814,15.9512,27.6098,4.8006,5.334,3.7338
"11/16in",17.8816,17.5514,30.1244,5.2578,5.7658,4.0386
"3/4in",19.4564,19.1262,32.639,5.7404,6.1976,4.3434
"13/16in",21.1328,20.7264,35.2298,6.2484,6.6548,4.6482
"7/8in",22.7076,22.3012,37.8206,6.7564,7.1374,5.0038
"15/16in",24.3332,23.9014,40.386,7.2136,7.5692,5.3086
"1in",26.0096,25.4762,43.18,7.7724,8.1026,5.6642
"1-1/16in",27.6098,27.0764,45.7962,8.2804,8.5852,6.0198
"1-1/8in",29.2862,28.6766,48.3362,8.763,9.0424,6.3246
"1-3/16in",30.9118,30.2768,50.8254,9.2456,9.4742,6.6294
"1-1/4in",32.512,31.8516,53.4416,9.7536,9.9822,6.985
"1-5/16in",34.1376,33.4518,55.9562,10.2362,10.414,7.2898
"1-3/8in",35.7632,35.0266,58.4454,10.7188,10.8458,7.5946
"1-7/16in",37.3888,36.6268,60.8584,11.176,11.2268,7.8486
"1-1/2in",38.9636,38.2016,63.2714,11.6332,11.6332,8.1534
"1-5/8in",42.2402,41.4782,68.4276,11.6332,12.4714,8.7376
"1-3/4in",45.4406,44.6532,71.628,11.6332,12.4714,8.7376
"1-7/8in",48.6156,47.8282,74.803,11.6332,12.4714,8.7376
"2in",51.7906,51.0032,79.8576,12.5984,13.3604,9.3472
"2-1/4in",58.2422,57.4548,86.3092,12.5984,13.3604,9.3472
"2-1/2in",64.5922,63.8048,92.6592,12.5984,13.3604,9.3472
"2-3/4in",70.9422,70.1548,99.314,13.3604,13.5128,9.4488
"3in",77.2922,76.5048,105.664,13.3604,13.5128,9.4488
