"ASMEB18.21.1.4def"
"Dia","A_max","A_min","B_max","T_min","W_min","BW_min"
"#4",3.048,2.8956,4.3942,0.5588,0.5588,0.381
"#5",3.3782,3.2258,5.1308,0.762,0.762,0.5334
"#6",3.7592,3.5814,5.4864,0.762,0.762,0.5334
"#8",4.4196,4.2418,6.7818,1.1938,1.0668,0.7366
"#10",5.08,4.9022,7.4676,1.1938,1.0668,0.7366
"1/4in",6.604,6.4008,9.2202,1.9812,1.1938,0.8382
"5/16in",8.1788,7.9756,11.6078,2.3622,1.5748,1.0922
"3/8in",9.779,9.5758,13.97,3.175,1.9304,1.3462
"7/16in",11.43,11.176,16.3576,3.556,2.286,1.6002
"1/2in",13.0048,12.7508,18.6182,4.3688,2.6162,1.8288
"5/8in",16.2814,15.9512,23.2918,5.1562,3.175,2.2098
"3/4in",19.4564,19.1262,28.067,5.5372,3.9116,2.7432
"7/8in",22.7076,22.3012,32.7914,5.9436,4.6228,3.2258
"1in",26.0096,25.4762,37.5412,6.35,5.2832,3.7084
"1-1/8in",29.2862,28.6766,42.2402,7.9502,5.9944,4.191
"1-1/4in",32.512,31.8516,45.466,7.9502,5.9944,4.191
"1-3/8in",35.7632,35.0266,51.5874,9.525,7.4168,5.1816
"1-1/2in",38.9636,38.2016,54.8386,9.525,7.4168,5.1816
"1-3/4in",45.4406,44.6532,65.9384,11.9126,9.7282,6.8072
"2in",51.7906,51.0032,72.2884,11.9126,9.7282,6.8072
"2-1/4in",58.2422,57.4548,84.963,12.9032,12.9032,9.0424
"2-1/2in",64.5922,63.8048,91.313,12.9032,12.9032,9.0424
"2-3/4in",70.9422,70.1548,104.013,16.0782,16.0782,11.2522
"3in",77.2922,76.5048,110.363,16.0782,16.0782,11.2522
