"DIN186def"
"Dia","P","b1","b2","b3","ds_max","ds_min","k_max","k_min","h_max","h_min","n_max","n_min","m_max","m_min","r1","r2"
"M6",1,18,18,18,6.48,5.52,4.9,4.1,4.9,4.1,6.60,5.40,16.90,15.10,0.5,0.9
"M8",1.25,22,28,28,8.58,7.42,5.9,5.1,5.9,5.1,8.75,7.25,18.90,17.10,0.5,1.2
"M10",1.5,26,32,32,10.58,9.42,7.5,6.5,7.5,6.5,10.75,9.25,22.00,20.00,0.5,1.5
"M12",1.75,30,36,49,12.70,11.30,8.75,7.25,8.75,7.25,12.90,11.10,27.00,25.00,1,1.8
"M16",2,38,44,57,16.70,15.30,11.4,9.6,11.4,9.6,16.90,15.10,31.00,29.00,1,2.4
"M20",2.5,46,52,65,20.84,19.16,13.9,12.1,13.9,12.1,21.00,19.00,37.25,34.75,1,3
"M24",3,54,60,73,24.84,23.16,15.9,14.1,15.9,14.1,25.00,23.00,44.25,41.75,1.6,3.6
"M30",3.5,66,72,85,30.84,29.16,20.0,18.0,20.0,18.0,31.00,29.00,55.50,52.50,1.6,4.5
"M36",4,78,84,97,37.00,35.00,24.0,22.0,24.0,22.0,37.25,34.75,67.50,64.50,2,5.4
"M42",4.5,96,96,109,43.00,41.00,27.0,25.0,27.0,25.0,43.25,40.75,81.50,78.50,2,6.3
"M48",5,108,108,128,49.00,47.00,31.0,29.0,31.0,29.0,49.25,46.75,89.75,86.25,2,7.2

"DIN186length"
"Nominal","Min","Max"
"20",18.95,21.05
"25",23.95,26.05
"30",28.95,31.05
"35",33.75,36.25
"40",38.75,41.25
"45",43.75,46.25
"50",48.75,51.25
"55",53.50,56.50
"60",58.50,61.50
"65",63.50,66.50
"70",68.50,71.50
"80",78.50,81.50
"90",88.25,91.75
"100",98.25,101.75
"110",108.25,111.75
"120",118.25,121.75
"130",128,132
"140",138,142
"150",148,152
"160",156,164
"180",176,184
"200",195.4,204.6
"220",215.4,224.6
"250",245.4,254.6
"280",275.4,284.6
"300",295.4,304.6

"DIN186range"
"Dia","Min_L","Max_L"
"M6","20","120"
"M8","25","200"
"M10","25","200"
"M12","30","300"
"M16","35","300"
"M20","40","300"
"M24","50","300"
"M30","55","300"
"M36","65","300"
"M42","130","300"
"M48","140","300"
