"DIN188def"
"Dia","P","b1","b2","b3","ds_max","ds_min","k_max","k_min","h_max","h_min","n_max","n_min","m_max","m_min","r1","r2"
"M8",1.25,22,28,28,8.58,7.42,5.90,5.10,5.90,5.10,8.75,7.25,18.90,17.10,0.5,1.2
"M10",1.5,26,32,32,10.58,9.42,7.45,6.55,7.45,6.55,10.75,9.25,22.00,20.00,0.5,1.5
"M12",1.75,30,36,49,12.70,11.30,8.75,7.25,8.75,7.25,12.90,11.10,27.00,25.00,1,1.8
"M16",2,38,44,57,16.70,15.30,11.40,9.60,11.40,9.60,16.90,15.10,31.00,29.00,1,2.4
"M20",2.5,46,52,65,20.84,19.16,13.90,12.10,13.90,12.10,21.00,19.00,37.25,34.75,1,3
"M24",3,54,60,73,24.84,23.16,15.90,14.10,15.90,14.10,25.00,23.00,44.25,41.75,1.6,3.6
"M30",3.5,66,72,85,30.84,29.16,20.00,18.00,20.00,18.00,31.00,29.00,55.50,52.50,1.6,4.5
"M36",4,78,84,97,37.0,35.0,24.00,22.00,24.00,22.00,37.25,34.75,67.50,64.50,2,5.4
"M42",4.5,96,96,109,43.0,41.0,27.00,25.00,27.00,25.00,43.25,40.75,81.50,78.50,2,6.3
"M48",5,108,108,121,49.0,47.0,31.00,29.00,31.00,29.00,49.25,46.75,89.75,86.25,2,7.2
"M56",5.5,124,124,137,57.2,54.8,36.25,33.75,36.25,33.75,57.50,54.50,103.75,100.25,3,8.4
"M64",6,130,130,143,65.2,62.8,41.25,38.75,41.25,38.75,65.50,62.50,116.75,113.25,3,9.6
"M72x6",6,156,156,169,73.2,70.8,46.25,43.75,46.25,43.75,73.50,70.50,130.00,126.00,4,10.8
"M80x6",6,172,172,185,81.2,78.8,51.25,48.75,51.25,48.75,81.50,78.50,142.00,138.00,4,12.0

"DIN188length"
"Nominal","Min","Max"
"30",28.95,31.05
"35",33.75,36.25
"40",38.75,41.25
"45",43.75,46.25
"50",48.75,51.25
"55",53.50,56.50
"60",58.50,61.50
"65",63.50,66.50
"70",68.50,71.50
"75",73.50,76.50
"80",78.50,81.50
"90",88.25,91.75
"100",98.25,101.75
"110",108.25,111.75
"120",118.25,121.75
"130",128.00,132.00
"140",138.00,142.00
"150",148.00,152.00
"160",156.00,164.00
"170",166.00,174.00
"180",176.00,184.00
"190",185.40,194.60
"200",195.40,204.60
"220",215.40,224.60
"240",235.40,244.60
"260",254.80,265.20
"280",274.80,285.20
"300",294.80,305.20
"320",314.30,325.70
"340",334.30,345.70
"360",354.30,365.70
"380",374.30,385.70
"400",394.30,405.70

"DIN188range"
"Dia","Min_L","Max_L"
"M8","30","80"
"M10","30","100"
"M12","40","120"
"M16","50","160"
"M20","60","200"
"M24","70","200"
"M30","90","200"
"M36","120","240"
"M42","140","260"
"M48","150","280"
"M56","180","300"
"M64","200","340"
"M72x6","200","360"
"M80x6","200","400"
