"DIN580def"
"Dia","d1","d2","d3","d4","e","f","dg","h","k","l","m","r1","r2","r3"
"M6",6,20.2,36.3,19.8,6.2,2.5,4.31,36.3,8.2,13.0,10.2,4,1,1
"M8",8,20.2,36.3,19.8,6.2,2.5,5.91,36.3,8.2,13.0,10.2,4,1,1
"M10",10,25.2,45.3,24.8,8.2,3.0,7.59,45.3,10.2,17.0,12.2,4,1,1
"M12",12,30.2,54.3,29.8,10.2,3.5,9.29,53.3,12.2,20.5,14.2,6,2,1.2
"M14",14,35.3,63.3,34.7,12.2,4.0,10.87,62.3,14.2,27.0,16.2,6,2,1.2
"M16",16,35.3,63.3,34.7,12.2,4.0,12.87,62.3,14.2,27.0,16.2,6,2,1.2
"M18",18,40.3,72.3,39.7,14.2,5.0,14.27,71.3,16.2,30.0,19.2,8,2,1.6
"M20",20,40.3,72.3,39.7,14.2,5.0,16.27,71.3,16.2,30.0,19.2,8,2,1.6
"M22",22,50.3,90.3,49.7,18.3,6.0,18.24,90.3,20.3,36.0,24.3,12,2,2
"M24",24,50.3,90.3,49.7,18.3,6.0,19.44,90.3,20.3,36.0,24.3,12,2,2
"M27",27,65.3,108.4,59.7,22.3,7.0,22.45,109.4,24.3,45.0,28.3,15,3,2
"M30",30,65.3,108.4,59.7,22.3,7.0,24.84,109.4,24.3,45.0,28.3,15,3,2
"M33",33,75.4,126.45,69.6,26.3,8.0,27.81,128.45,28.3,54.0,32.3,18,3,2
"M36",36,75.4,126.45,69.6,26.3,8.0,30.11,128.45,28.3,54.0,32.3,18,3,2
"M39",39,85.4,144.45,79.6,30.3,9.0,33.11,147.45,32.3,63.0,38.4,20,3,2.5
"M42",42,85.4,144.45,79.6,30.3,9.0,35.41,147.45,32.3,63.0,38.4,20,3,2.5
"M45",45,100.45,166.5,89.55,35.45,10.0,38.41,168.5,38.45,68.0,46.45,22,4,2.5
"M48",48,100.45,166.5,89.55,35.45,10.0,40.81,168.5,38.45,68.0,46.45,22,4,2.5
"M52",52,110.5,184.6,99.5,38.5,11.0,44.77,187.6,42.5,78.0,50.5,25,4,3
"M56",56,110.5,184.6,99.5,38.5,11.0,48.11,187.6,42.5,78.0,50.5,25,4,3
"M60",60,120.5,206.6,109.5,42.5,12.0,52.07,208.6,48.5,90.0,58.5,25,4,3
"M64",64,120.5,206.6,109.5,42.5,12.0,55.47,208.6,48.5,90.0,58.5,25,4,3
"M72x6",72,150.6,260.75,139.4,50.5,12.0,63.47,260.75,60.5,100.0,72.5,35,4,3
"M80x6",80,170.75,296.8,159.3,55.6,12.0,71.47,298.8,68.6,112.0,80.6,35,4,3
"M100x6",100,190.75,330.8,179.25,60.6,12.0,91.43,330.8,75.6,130.0,88.6,40,4,3
