"DIN582def"
"Dia","P","d2_min","d2_max","d3_min","d3_max","d4_min","d4_max","e_min","e_max","h_min","h_max","k_min","k_max","m_min","m_max","r"
"M6",1,19.5,20.9,35.5,37.1,19.1,20.5,8,9.4,35.5,37.1,7.5,8.9,9.5,10.9,4
"M8",1.25,19.5,20.9,35.5,37.1,19.1,20.5,8,9.4,35.5,37.1,7.5,8.9,9.5,10.9,4
"M10",1.5,24.5,25.9,44.5,46.1,24.1,25.5,9.5,10.9,44.5,46.1,9.5,10.9,11.5,12.9,4
"M12",1.75,29.5,30.9,53.5,55.1,29.1,30.5,10.5,11.9,52.5,54.1,11.5,12.9,13.5,14.9,6
"M14",2,34.5,36.1,62.5,64.1,33.9,35.5,12.5,13.9,61.5,63.1,13.5,14.9,15.5,16.9,6
"M16",2,34.5,36.1,62.5,64.1,33.9,35.5,12.5,13.9,61.5,63.1,13.5,14.9,15.5,16.9,6
"M18",2.5,39.5,41.1,71.5,73.1,38.9,40.5,15.5,16.9,70.5,72.1,15.5,16.9,18.5,19.9,8
"M20",2.5,39.5,41.1,71.5,73.1,38.9,40.5,15.5,16.9,70.5,72.1,15.5,16.9,18.5,19.9,8
"M22",2.5,49.4,51.2,89.4,91.2,48.8,50.6,19.5,21.1,89.4,91.2,19.5,21.1,23.5,25.1,12
"M24",3,49.4,51.2,89.4,91.2,48.8,50.6,19.5,21.1,89.4,91.2,19.5,21.1,23.5,25.1,12
"M27",3,64.3,66.3,107.3,109.5,58.7,60.7,24.4,26.2,108.3,110.5,23.4,25.2,27.4,29.2,15
"M30",3.5,64.3,66.3,107.3,109.5,58.7,60.7,24.4,26.2,108.3,110.5,23.4,25.2,27.4,29.2,15
"M33",3.5,74.3,76.5,125.2,127.7,68.5,70.7,29.3,31.3,127.2,129.7,27.3,29.3,31.3,33.3,18
"M36",4,74.3,76.5,125.2,127.7,68.5,70.7,29.3,31.3,127.2,129.7,27.3,29.3,31.3,33.3,18
"M39",4,84.3,86.5,143.2,145.7,78.5,80.7,34.3,36.5,146.2,148.7,31.3,33.3,37.3,39.5,20
"M42",4.5,84.3,86.5,143.2,145.7,78.5,80.7,34.3,36.5,146.2,148.7,31.3,33.3,37.3,39.5,20
"M45",4.5,99.2,101.7,164.9,168.1,88.3,90.8,39.2,41.7,166.9,170.1,37.2,39.7,45.2,47.7,22
"M48",5,99.2,101.7,164.9,168.1,88.3,90.8,39.2,41.7,166.9,170.1,37.2,39.7,45.2,47.7,22
"M52",5,108.9,112.1,182.8,186.4,98.1,100.9,44.1,46.9,185.8,189.4,41.1,43.9,49.1,51.9,25
"M56",5.5,108.9,112.1,182.8,186.4,98.1,100.9,44.1,46.9,185.8,189.4,41.1,43.9,49.1,51.9,25
"M60",5.5,118.9,122.1,204.8,208.4,107.9,111.1,49.1,51.9,206.8,210.4,47.1,49.9,57.1,59.9,25
"M64",6,118.9,122.1,204.8,208.4,107.9,111.1,49.1,51.9,206.8,210.4,47.1,49.9,57.1,59.9,25
"M72x6",6,148.8,152.4,258.5,263,137.6,141.2,58.9,62.1,258.5,263,58.9,62.1,70.9,74.1,35
"M80x6",6,168.5,173,294.3,299.3,157.3,161.3,68.8,72.4,296.3,301.3,66.8,70.4,78.8,82.4,35
"M100x6",6,188.5,193,328.3,333.3,177,181.5,78.8,82.4,328.3,333.3,73.8,77.4,86.8,90.4,40
