"DIN604def"
"Dia","P","b1","b2","b3","dk_max","dk_min","ds_max","ds_min","g_max","g_min","i","k","alpha_min","alpha_max"
"M6",1,18,24,24,12.55,11.45,6,5.52,2.5,2.10,2.8,4.0,90,95
"M8",1.25,22,28,41,16.55,15.45,8,7.42,3.0,2.60,3.5,5.0,90,95
"M10",1.5,26,32,45,19.65,18.35,10,9.42,3.2,2.72,4.2,5.5,90,95
"M12",1.75,30,36,49,24.65,23.35,12,11.30,3.6,3.12,5.7,7.0,90,95
"M16",2,38,44,57,32.80,31.20,16,15.30,4.2,3.72,7.5,9.0,90,95
"M20",2.5,46,52,65,32.80,31.20,20,19.16,5.4,4.92,5.7,11.5,60,65
"M24",3,54,60,73,38.80,37.20,24,23.16,6.6,6.02,6.7,13,60,65

"DIN604length"
"Nominal","Min","Max"
"20",18.95,21.05
"25",23.95,26.05
"30",28.95,31.05
"35",33.75,36.25
"40",38.75,41.25
"45",43.75,46.25
"50",48.75,51.25
"55",53.50,56.50
"60",58.50,61.50
"65",63.50,66.50
"70",68.50,71.50
"80",78.50,81.50
"90",88.25,91.75
"100",98.25,101.75
"110",108.25,111.75
"120",118.25,121.75
"130",128.00,132.00
"140",138.00,142.00
"150",148.00,152.00
"160",156.00,164.00

"DIN604range"
"Dia","Min_L","Max_L"
"M6","20","100"
"M8","20","150"
"M10","20","160"
"M12","25","160"
"M16","30","160"
"M20","50","160"
"M24","60","160"
