"DIN608def"
"Dia","P","b","dk_max","dk_min","ds_max","ds_min","fn_max","fn_min","r","v_max","v_min","k"
"M10",1.5,26,19.65,18.35,10,9.42,8.45,7.55,1.5,10.58,9.42,5.5
"M12",1.75,30,24.65,23.35,12,11.30,11.05,9.95,1.8,12.70,11.30,7.0

"DIN608length"
"Nominal","Min","Max"
"25",23.95,26.05
"30",28.95,31.05
"35",33.75,36.25
"40",38.75,41.25
"45",43.75,46.25
"50",48.75,51.25
"55",53.5,56.5
"60",58.5,61.5
"65",63.5,66.5
"70",68.5,71.5
"80",78.5,81.5
"90",88.25,91.75
"100",98.25,101.75
"110",108.25,111.75
"120",118.25,121.75
"130",128,132
"140",138,142
"150",148,152
"160",156,164
"180",176,184
"200",195.4,204.6

"DIN608range"
"Dia","Min_L","Max_L"
"M10","25","200"
"M12","30","200"
