"DIN934def"
"Dia","P","da_max","da_min","dw","e","m_max","m_min","mw","s"
"M1",0.25,1.15,1.0,2.0,2.71,0.8,0.55,0.44,2.5
"M1.2",0.25,1.4,1.2,2.1,3.28,1.0,0.75,0.6,3.0
"M1.4",0.3,1.6,1.4,2.1,3.28,1.2,0.95,0.76,3.0
"M1.6",0.35,1.84,1.6,2.4,3.41,1.3,1.05,0.84,3.2
"M2",0.4,2.3,2.0,3.2,4.32,1.6,1.35,1.08,4.0
"M2.5",0.45,2.9,2.5,4.1,5.45,2.0,1.75,1.4,5.0
"M3",0.5,3.45,3.0,4.5,6.01,2.4,2.15,1.72,5.5
"M3.5",0.6,4.0,3.5,5.0,6.58,2.8,2.55,2.04,6.0
"M4",0.7,4.6,4.0,5.8,7.66,3.2,2.9,2.32,7.0
"M5",0.8,5.75,5.0,6.8,8.79,4.0,3.7,2.96,8.0
"M6",1.0,6.75,6.0,8.8,11.05,5.0,4.7,3.76,10.0
"M7",1.0,7.75,7.0,9.5,12.12,5.5,5.2,4.16,11.0
"M8",1.25,8.75,8.0,11.3,14.38,6.5,6.14,4.91,13.0
"M8",1.0,8.75,8.0,11.3,14.38,6.5,6.14,4.91,13.0
"M10",1.5,10.8,10.0,15.3,18.9,8.0,7.64,6.11,17.0
"M10",1.0,10.8,10.0,15.3,18.9,8.0,7.64,6.11,17.0
"M10",1.25,10.8,10.0,15.3,18.9,8.0,7.64,6.11,17.0
"M12",1.75,13.0,12.0,17.2,21.1,10.0,9.64,7.71,19.0
"M12",1.0,13.0,12.0,17.2,21.1,10.0,9.64,7.71,19.0
"M12",1.25,13.0,12.0,17.2,21.1,10.0,9.64,7.71,19.0
"M14",2.0,15.1,14.0,20.2,24.49,11.0,10.3,8.24,22.0
"M14",1.5,15.1,14.0,20.2,24.49,11.0,10.3,8.24,22.0
"M16",2.0,17.3,16.0,22.2,26.75,13.0,12.3,9.84,24.0
"M16",1.5,17.3,16.0,22.2,26.75,13.0,12.3,9.84,24.0
"M18",2.5,19.5,18.0,25.3,29.56,15.0,14.3,11.44,27.0
"M18",1.5,19.5,18.0,25.3,29.56,15.0,14.3,11.44,27.0
"M18",2.0,19.5,18.0,25.3,29.56,15.0,14.3,11.44,27.0
"M20",2.5,21.6,20.0,28.2,32.95,16.0,14.9,11.92,30.0
"M20",1.5,21.6,20.0,28.2,32.95,16.0,14.9,11.92,30.0
"M20",2.0,21.6,20.0,28.2,32.95,16.0,14.9,11.92,30.0
"M22",2.5,23.7,22.0,29.5,35.03,18.0,16.9,13.52,32.0
"M22",1.5,23.7,22.0,29.5,35.03,18.0,16.9,13.52,32.0
"M22",2.0,23.7,22.0,29.5,35.03,18.0,16.9,13.52,32.0
"M24",3.0,25.9,24.0,33.2,39.55,19.0,17.7,14.16,36.0
"M24",2.0,25.9,24.0,33.2,39.55,19.0,17.7,14.16,36.0
"M27",3.0,29.1,27.0,38.0,45.2,22.0,20.7,16.56,41.0
"M27",2.0,29.1,27.0,38.0,45.2,22.0,20.7,16.56,41.0
"M30",3.5,32.4,30.0,42.7,50.85,24.0,22.7,18.16,46.0
"M30",2.0,32.4,30.0,42.7,50.85,24.0,22.7,18.16,46.0
"M33",3.5,35.6,33.0,46.6,55.37,26.0,24.7,19.76,50.0
"M33",2.0,35.6,33.0,46.6,55.37,26.0,24.7,19.76,50.0
"M36",4.0,38.9,36.0,51.1,60.79,29.0,27.4,21.92,55.0
"M36",3.0,38.9,36.0,51.1,60.79,29.0,27.4,21.92,55.0
"M39",4.0,42.1,39.0,55.9,66.44,31.0,29.4,23.52,60.0
"M39",3.0,42.1,39.0,55.9,66.44,31.0,29.4,23.52,60.0
"M42",4.5,45.4,42.0,60.6,71.3,34.0,32.4,25.9,65.0
"M42",3.0,45.4,42.0,60.6,71.3,34.0,32.4,25.9,65.0
"M45",4.5,48.6,45.0,64.7,76.95,36.0,34.4,27.5,70.0
"M45",3.0,48.6,45.0,64.7,76.95,36.0,34.4,27.5,70.0
"M48",5.0,51.8,48.0,69.4,82.6,38.0,36.4,29.1,75.0
"M48",3.0,51.8,48.0,69.4,82.6,38.0,36.4,29.1,75.0
"M52",5.0,56.2,52.0,74.2,88.25,42.0,40.4,32.3,80.0
"M52",3.0,56.2,52.0,74.2,88.25,42.0,40.4,32.3,80.0
"M56",5.5,60.5,56.0,78.7,93.56,45.0,43.4,34.7,85.0
"M56",4.0,60.5,56.0,78.7,93.56,45.0,43.4,34.7,85.0
"M60",5.5,64.8,60.0,83.4,99.21,48.0,46.4,37.1,90.0
"M60",4.0,64.8,60.0,83.4,99.21,48.0,46.4,37.1,90.0
"M64",6.0,69.1,64.0,88.2,104.86,51.0,49.1,39.3,95.0
"M64",4.0,69.1,64.0,88.2,104.86,51.0,49.1,39.3,95.0
"M68",6.0,73.4,68.0,92.9,110.51,54.0,52.1,41.7,100.0
"M68",4.0,73.4,68.0,92.9,110.51,54.0,52.1,41.7,100.0
"M72",6.0,77.8,72.0,97.7,116.16,58.0,56.1,44.9,105.0
"M72",4.0,77.8,72.0,97.7,116.16,58.0,56.1,44.9,105.0
"M76",6.0,82.1,76.0,102.4,121.81,61.0,59.1,47.3,110.0
"M76",4.0,82.1,76.0,102.4,121.81,61.0,59.1,47.3,110.0
"M80",6.0,86.4,80.0,107.2,127.46,64.0,62.1,49.7,115.0
"M80",4.0,86.4,80.0,107.2,127.46,64.0,62.1,49.7,115.0
"M85",6.0,91.8,85.0,111.9,133.11,68.0,66.1,52.9,120.0
"M85",4.0,91.8,85.0,111.9,133.11,68.0,66.1,52.9,120.0
"M90",6.0,97.2,90.0,121.1,144.08,72.0,70.1,56.1,130.0
"M90",4.0,97.2,90.0,121.1,144.08,72.0,70.1,56.1,130.0
"M100",6.0,108.0,100.0,135.4,161.02,80.0,78.1,62.5,145.0
"M100",4.0,108.0,100.0,135.4,161.02,80.0,78.1,62.5,145.0
"M110",6.0,119.0,110.0,144.9,172.32,88.0,85.8,68.6,155.0
"M110",4.0,119.0,110.0,144.9,172.32,88.0,85.8,68.6,155.0
"M125",6.0,135.0,125.0,168.6,200.57,100.0,97.8,78.2,180.0
"M125",4.0,135.0,125.0,168.6,200.57,100.0,97.8,78.2,180.0
