"UN_UNR_Internal_Thread_Minor_Dia_Table3_ASME_B1.1"
"Dia","TPI","Series","Class","Minor_Dia_Mean","Minor_Dia_Max","Minor_Dia_Min"
"#0",80,"UNF","2B",0.04895,0.0514,0.0465
"#0",80,"UNF","3B",0.04895,0.0514,0.0465
"#1",64,"UNC","2B",0.0592,0.0623,0.0561
"#1",64,"UNC","3B",0.0592,0.0623,0.0561
"#1",72,"UNF","2B",0.06075,0.0635,0.058
"#1",72,"UNF","3B",0.06075,0.0635,0.058
"#2",56,"UNC","2B",0.0702,0.0737,0.0667
"#2",56,"UNC","3B",0.0702,0.0737,0.0667
"#2",64,"UNF","2B",0.0722,0.0753,0.0691
"#2",64,"UNF","3B",0.0722,0.0753,0.0691
"#3",48,"UNC","2B",0.08045,0.0845,0.0764
"#3",48,"UNC","3B",0.08045,0.0845,0.0764
"#3",56,"UNF","2B",0.0831,0.0865,0.0797
"#3",56,"UNF","3B",0.0831,0.0865,0.0797
"#4",40,"UNC","2B",0.0894,0.0939,0.0849
"#4",40,"UNC","3B",0.0894,0.0939,0.0849
"#4",48,"UNF","2B",0.0931,0.0968,0.0894
"#4",48,"UNF","3B",0.0931,0.0968,0.0894
"#5",40,"UNC","2B",0.10205,0.1062,0.0979
"#5",40,"UNC","3B",0.10205,0.1062,0.0979
"#5",44,"UNF","2B",0.10415,0.1079,0.1004
"#5",44,"UNF","3B",0.10415,0.1079,0.1004
"#6",32,"UNC","2B",0.109,0.114,0.104
"#6",32,"UNC","3B",0.109,0.114,0.104
"#6",40,"UNF","2B",0.1148,0.1186,0.111
"#6",40,"UNF","3B",0.1148,0.1186,0.111
"#8",32,"UNC","2B",0.1345,0.139,0.13
"#8",32,"UNC","3B",0.13445,0.1389,0.13
"#8",36,"UNF","2B",0.138,0.142,0.134
"#8",36,"UNF","3B",0.1378,0.1416,0.134
"#10",24,"UNC","2B",0.15,0.155,0.145
"#10",24,"UNC","3B",0.15025,0.1555,0.145
"#10",32,"UNF","2B",0.16,0.164,0.156
"#10",32,"UNF","3B",0.16005,0.1641,0.156
"#12",24,"UNC","2B",0.176,0.181,0.171
"#12",24,"UNC","3B",0.17585,0.1807,0.171
"#12",28,"UNF","2B",0.1815,0.186,0.177
"#12",28,"UNF","3B",0.18135,0.1857,0.177
"#12",32,"UNEF","2B",0.186,0.19,0.182
"#12",32,"UNEF","3B",0.18575,0.1895,0.182
"1/4",20,"UNC","1B",0.2015,0.207,0.196
"1/4",20,"UNC","2B",0.2015,0.207,0.196
"1/4",20,"UNC","3B",0.20135,0.2067,0.196
"1/4",28,"UNF","1B",0.2155,0.22,0.211
"1/4",28,"UNF","2B",0.2155,0.22,0.211
"1/4",28,"UNF","3B",0.215,0.219,0.211
"1/4",32,"UNEF","2B",0.22,0.224,0.216
"1/4",32,"UNEF","3B",0.21945,0.2229,0.216
"5/16",18,"UNC","1B",0.2585,0.265,0.252
"5/16",18,"UNC","2B",0.2585,0.265,0.252
"5/16",18,"UNC","3B",0.2575,0.263,0.252
"5/16",20,"UN","2B",0.264,0.27,0.258
"5/16",20,"UN","3B",0.263,0.268,0.258
"5/16",24,"UNF","1B",0.272,0.277,0.267
"5/16",24,"UNF","2B",0.272,0.277,0.267
"5/16",24,"UNF","3B",0.2712,0.2754,0.267
"5/16",28,"UN","2B",0.278,0.282,0.274
"5/16",28,"UN","3B",0.27735,0.2807,0.274
"5/16",32,"UNEF","2B",0.2825,0.286,0.279
"5/16",32,"UNEF","3B",0.28185,0.2847,0.279
"3/8",16,"UNC","1B",0.314,0.321,0.307
"3/8",16,"UNC","2B",0.314,0.321,0.307
"3/8",16,"UNC","3B",0.3126,0.3182,0.307
"3/8",20,"UN","2B",0.3265,0.332,0.321
"3/8",20,"UN","3B",0.32535,0.3297,0.321
"3/8",24,"UNF","1B",0.335,0.34,0.33
"3/8",24,"UNF","2B",0.335,0.34,0.33
"3/8",24,"UNF","3B",0.3336,0.3372,0.33
"3/8",28,"UN","2B",0.3405,0.345,0.336
"3/8",28,"UN","3B",0.3393,0.3426,0.336
"3/8",32,"UNEF","2B",0.344,0.347,0.341
"3/8",32,"UNEF","3B",0.34395,0.3469,0.341
"7/16",14,"UNC","1B",0.368,0.376,0.36
"7/16",14,"UNC","2B",0.368,0.376,0.36
"7/16",14,"UNC","3B",0.36585,0.3717,0.36
"7/16",16,"UN","2B",0.377,0.384,0.37
"7/16",16,"UN","3B",0.375,0.38,0.37
"7/16",20,"UNF","1B",0.389,0.395,0.383
"7/16",20,"UNF","2B",0.389,0.395,0.383
"7/16",20,"UNF","3B",0.3873,0.3916,0.383
"7/16",28,"UNEF","2B",0.403,0.407,0.399
"7/16",28,"UNEF","3B",0.40205,0.4051,0.399
"7/16",32,"UN","2B",0.4075,0.411,0.404
"7/16",32,"UN","3B",0.4067,0.4094,0.404
"1/2",13,"UNC","1B",0.4255,0.434,0.417
"1/2",13,"UNC","2B",0.4255,0.434,0.417
"1/2",13,"UNC","3B",0.4227,0.4284,0.417
"1/2",16,"UN","2B",0.439,0.446,0.432
"1/2",16,"UN","3B",0.43695,0.4419,0.432
"1/2",20,"UNF","1B",0.4515,0.457,0.446
"1/2",20,"UNF","2B",0.4515,0.457,0.446
"1/2",20,"UNF","3B",0.44985,0.4537,0.446
"1/2",28,"UNEF","2B",0.4655,0.47,0.461
"1/2",28,"UNEF","3B",0.4643,0.4676,0.461
"1/2",32,"UN","2B",0.47,0.474,0.466
"1/2",32,"UN","3B",0.46895,0.4719,0.466
"9/16",12,"UNC","1B",0.481,0.49,0.472
"9/16",12,"UNC","2B",0.481,0.49,0.472
"9/16",12,"UNC","3B",0.47815,0.4843,0.472
"9/16",16,"UN","2B",0.502,0.509,0.495
"9/16",16,"UN","3B",0.4995,0.504,0.495
"9/16",18,"UNF","1B",0.5085,0.515,0.502
"9/16",18,"UNF","2B",0.5085,0.515,0.502
"9/16",18,"UNF","3B",0.5063,0.5106,0.502
"9/16",20,"UN","2B",0.514,0.52,0.508
"9/16",20,"UN","3B",0.5121,0.5162,0.508
"9/16",24,"UNEF","2B",0.522,0.527,0.517
"9/16",24,"UNEF","3B",0.5207,0.5244,0.517
"9/16",28,"UN","2B",0.528,0.532,0.524
"9/16",28,"UN","3B",0.52705,0.5301,0.524
"9/16",32,"UN","2B",0.5325,0.536,0.529
"9/16",32,"UN","3B",0.5317,0.5344,0.529
"5/8",11,"UNC","1B",0.5365,0.546,0.527
