"ASMEB18.15.1Adef"
"Dia","TPI","A","B","C","D","E","F","G"
"1/4in",20,0.28,1.06,0.81,1.19,0.25,2.38,0.75
"5/16in",18,0.34,1.19,0.94,1.44,0.31,2.75,0.81
"3/8in",16,0.41,1.38,1.06,1.69,0.38,3.19,0.88
"7/16in",14,0.47,1.50,1.12,1.81,0.41,3.44,1.00
"1/2in",13,0.53,1.62,1.25,2.12,0.50,3.88,1.12
"9/16in",12,0.59,1.75,1.31,2.25,0.53,4.12,1.25
"5/8in",11,0.66,1.88,1.44,2.56,0.62,4.56,1.38
"3/4in",10,0.78,2.12,1.56,2.81,0.69,5.06,1.62
"7/8in",9,0.91,2.38,1.69,3.19,0.81,5.69,1.81
"1in",8,1.06,2.62,1.81,3.56,0.94,6.31,2.06
"1 1/8in",7,1.19,2.88,2.06,4.06,1.06,7.06,2.31
"1 1/4in",7,1.34,3.12,2.25,4.44,1.16,7.69,2.50
"1 1/2in",6,1.59,3.62,2.56,5.19,1.38,8.94,3.00
"1 3/4in",5,1.84,3.88,3.00,6.00,1.62,10.12,3.19
"2in",4.5,2.09,4.25,3.44,6.88,1.88,11.44,3.38
"2 1/2in",4,2.62,5.25,4.19,8.50,2.31,14.06,4.25
