"ASMEB18.15.1Bdef"
"Dia","TPI","A","B","C","D","E","F","G"
"1/4in",20,0.28,1.06,0.81,1.19,0.25,2.38,0.75
"5/16in",18,0.34,1.13,0.94,1.44,0.31,2.75,0.75
"3/8in",16,0.41,1.25,1.06,1.69,0.38,3.19,0.75
"7/16in",14,0.47,1.25,1.12,1.81,0.41,3.44,0.75
"1/2in",13,0.53,1.25,1.25,2.12,0.50,3.88,0.75
"9/16in",12,0.59,1.34,1.31,2.25,0.53,4.12,0.84
"5/8in",11,0.66,1.44,1.44,2.56,0.62,4.56,0.94
"3/4in",10,0.78,1.62,1.56,2.81,0.69,5.06,1.13
"7/8in",9,0.91,1.88,1.69,3.19,0.81,5.69,1.31
"1in",8,1.06,2.06,1.81,3.56,0.94,6.31,1.50
"1 1/8in",7,1.19,2.26,2.06,4.06,1.06,7.06,1.69
"1 1/4in",7,1.34,2.50,2.25,4.44,1.16,7.69,1.88
"1 1/2in",6,1.59,2.87,2.56,5.19,1.38,8.94,2.25
"1 3/4in",5,1.84,3.31,3.00,6.00,1.62,10.12,2.62
"2in",4.5,2.09,3.87,3.44,6.88,1.88,11.44,3.00
"2 1/2in",4,2.62,4.75,4.19,8.50,2.31,14.06,3.75
