"ASMEB18.2.1.1def"
"Dia","TPI","F_max","F_min","H_max","H_min","R","L_T1","L_T2"
"1/4in",20,0.375,0.362,0.188,0.156,0.02,0.75,1
"5/16in",18,0.500,0.484,0.220,0.186,0.02,0.875,1.125
"3/8in",16,0.562,0.544,0.268,0.232,0.02,1,1.25
"7/16in",14,0.625,0.603,0.316,0.278,0.02,1.125,1.375
"1/2in",13,0.750,0.725,0.348,0.308,0.02,1.25,1.5
"5/8in",11,0.938,0.906,0.444,0.400,0.04,1.5,1.75
"3/4in",10,1.125,1.088,0.524,0.476,0.04,1.75,2
"7/8in",9,1.312,1.269,0.620,0.568,0.04,2,2.25
"1in",8,1.500,1.450,0.684,0.628,0.06,2.25,2.5
"1 1/8in",7,1.688,1.631,0.780,0.720,0.06,2.5,2.75
"1 1/4in",7,1.875,1.812,0.876,0.812,0.06,2.75,3
"1 3/8in",6,2.062,1.994,0.940,0.872,0.06,3,3.25
"1 1/2in",6,2.250,2.175,1.036,0.964,0.06,3.25,3.5

