"ASMEB18.2.1.2def"
"Dia","b1","b2","P","c","dw","e_max","e_min","k_max","k_min","r","s_max","s_min"
"1/4in",19.049999999999997,25.4,1.27,0.4064,10.556874999999998,12.827,12.2936,4.7752,3.81,0.7619999999999999,11.1252,10.795
"5/16in",22.224999999999998,28.575,1.411111111111111,0.4064,12.065,14.6558,14.0208,5.969,4.953,0.7619999999999999,12.7,12.2936
"3/8in",25.4,31.75,1.5875,0.4064,13.573125,16.51,15.748,6.8072,5.7404,0.7619999999999999,14.2748,13.8176
"7/16in",28.575,34.925,1.8142857142857143,0.4064,15.081249999999999,18.3388,17.4498,8.0264,6.9088,0.7619999999999999,15.875,15.3162
"1/2in",31.75,38.099999999999994,1.9538461538461538,0.4064,18.097499999999997,21.9964,20.9804,9.2456,7.6708,0.7619999999999999,19.05,18.415
"5/8in",38.099999999999994,44.449999999999996,2.309090909090909,0.4064,22.621875,27.5082,26.2382,11.2776,9.6012,1.5239999999999998,23.8252,23.0124
"3/4in",44.449999999999996,50.8,2.54,0.4064,27.14625,32.9946,31.496,13.3096,11.557,1.5239999999999998,28.575,27.6352
"7/8in",50.8,57.15,2.822222222222222,0.4064,31.670624999999998,38.5064,36.7538,15.3416,13.4874,1.5239999999999998,33.3248,32.2326
"1in",57.15,63.5,3.175,0.4064,36.19499999999999,43.9928,41.9862,17.78,15.0114,2.2859999999999996,38.1,36.83
"1 1/8in",63.5,69.85,3.6285714285714286,0.4064,40.71937499999999,49.5046,47.2186,19.812,16.7132,2.2859999999999996,42.8752,41.4274
"1 1/4in",69.85,76.19999999999999,3.6285714285714286,0.4064,45.24375,54.991,52.4764,22.2504,19.0246,2.2859999999999996,47.625,46.0248
"1 3/8in",76.19999999999999,82.55,4.233333333333333,0.4064,49.76812499999999,60.5028,57.7342,23.876,20.574,2.2859999999999996,52.3748,50.6476
"1 1/2in",82.55,88.89999999999999,4.233333333333333,0.4064,54.2925,65.9892,62.992,26.3144,22.9108,2.2859999999999996,57.15,55.245
"1 5/8in",88.89999999999999,95.25,5.08,0.4064,58.81687499999999,71.501,66.4464,28.3464,24.8412,2.2859999999999996,61.9252,59.8424
"1 3/4in",95.25,101.6,5.08,0.4064,63.341249999999995,76.9874,73.4822,30.3784,26.7716,3.0479999999999996,66.675,64.4652
"1 7/8in",101.6,107.94999999999999,5.08,0.4064,67.865625,82.4992,78.7146,32.4104,28.702,3.0479999999999996,71.4248,69.0626
"2in",107.94999999999999,114.3,5.644444444444444,0.4064,72.38999999999999,87.9856,83.9724,35.2552,29.845,3.0479999999999996,76.2,73.66
"2 1/4in",120.64999999999999,127.0,5.644444444444444,0.4064,81.43874999999998,98.9838,94.4626,39.3192,33.7058,4.826,85.725,82.8548
"2 1/2in",133.35,139.7,6.35,0.4064,90.4875,109.982,104.9782,43.3832,37.5666,4.826,95.25,92.075
"2 3/4in",146.04999999999998,152.39999999999998,6.35,0.4064,99.53624999999998,120.9802,115.4684,47.4726,41.4528,4.826,104.775,101.2952
"3in",158.75,165.1,6.35,0.4064,108.585,131.9784,125.9586,52.324,46.101,4.826,114.3,110.49
"3 1/4in",171.45,177.79999999999998,6.35,0.4064,117.63374999999998,142.9766,136.4488,57.1754,49.1744,4.826,123.825,119.6848
"3 1/2in",184.14999999999998,190.5,6.35,0.4064,126.68249999999999,153.9748,146.9644,60.452,52.2478,4.826,133.35,128.905
"3 3/4in",196.85,203.2,6.35,0.4064,135.73125,164.973,157.4292,65.3288,56.9214,4.826,142.875,138.0998
"4in",209.54999999999998,215.89999999999998,6.35,0.4064,144.77999999999997,175.9712,167.9448,70.2056,61.5696,4.826,152.4,147.32


"ASMEB18.2.1.2length"
"Nominal","Min","Max"
"1/4in",5.588,7.112
"3/8in",8.762999999999998,10.287
"1/2in",11.937999999999999,13.462
"5/8in",15.112999999999998,16.637
"3/4in",18.287999999999997,19.812
"7/8in",21.462999999999997,22.987
"1in",24.637999999999998,26.162
"1 1/4in",30.987999999999996,32.512
"1 1/2in",37.337999999999994,38.862
"1 3/4in",43.687999999999995,45.211999999999996
"2in",50.038,51.56199999999999
"2 1/4in",56.388000000000005,57.91199999999999
"2 1/2in",62.738,64.26199999999999
"2 3/4in",69.08800000000001,70.612
"3in",75.438,76.96199999999999
"3 1/4in",81.788,83.31199999999998
"3 1/2in",88.138,89.66199999999999
"3 3/4in",94.488,96.01199999999999
"4in",100.838,102.362
"4 1/2in",113.03,115.57
"5in",125.73,128.26999999999998
"5 1/2in",138.43,140.97
"6in",151.13,153.67
"6 1/2in",163.82999999999998,166.36999999999998
"7in",176.53,179.07
"7 1/2in",189.23,191.76999999999998
"8in",201.93,204.47
"9in",227.32999999999996,229.87
"10in",252.72999999999996,255.27
"12in",303.53,306.07

"ASMEB18.2.1.2range"
"Dia","Min_L","Max_L"
"1/4in","1/4in","10in"
"5/16in","3/8in","10in"
"3/8in","3/8in","10in"
"7/16in","1/2in","10in"
"1/2in","1/2in","10in"
"5/8in","5/8in","10in"
"3/4in","3/4in","10in"
"7/8in","3/4in","10in"
"1in","3/4in","10in"
"1 1/8in","3/4in","10in"
"1 1/4in","3/4in","10in"
"1 3/8in","1in","10in"
"1 1/2in","1in","10in"
"1 5/8in","1 1/2in","10in"
"1 3/4in","1 1/2in","10in"
"1 7/8in","1 1/2in","10in"
"2in","1 1/2in","10in"
"2 1/4in","2in","10in"
"2 1/2in","2in","10in"
"2 3/4in","2in","10in"
"3in","2 1/2in","10in"
"3 1/4in","2 1/2in","10in"
"3 1/2in","3in","10in"
"3 3/4in","3in","10in"
"4in","3in","10in"
