"ASMEB18.2.1.3def"
"Dia","b1","b2","P","c","dw","e_max","e_min","k_max","k_min","r","s_max","s_min"
"3/8in",25.4,31.75,1.5875,0.4064,16.589374999999997,20.1676,19.3802,6.8072,5.7404,0.7619999999999999,17.4752,16.9926
"1/2in",31.75,38.099999999999994,1.9538461538461538,0.4064,21.113749999999996,25.654,24.6126,9.2456,7.6708,0.7619999999999999,22.225,21.59
"5/8in",38.099999999999994,44.449999999999996,2.309090909090909,0.4064,25.638124999999995,31.1658,29.845,11.2776,9.6012,1.5239999999999998,26.9748,26.1874
"3/4in",44.449999999999996,50.8,2.54,0.4064,30.162499999999998,36.6522,35.1282,13.3096,11.557,1.5239999999999998,31.75,30.7848
"7/8in",50.8,57.15,2.822222222222222,0.4064,34.68687499999999,42.164,40.3606,15.3416,13.4874,1.5239999999999998,36.5252,35.4076
"1in",57.15,63.5,3.175,0.4064,39.21125,47.6504,45.6184,17.78,15.0114,2.2859999999999996,41.275,40.005
"1 1/8in",63.5,69.85,3.6285714285714286,0.4064,43.73562499999999,53.1622,50.8508,19.812,16.7132,2.2859999999999996,46.0248,44.6024
"1 1/4in",69.85,76.19999999999999,3.6285714285714286,0.4064,48.26,58.6486,56.1086,22.2504,19.0246,2.2859999999999996,50.8,49.2252
"1 3/8in",76.19999999999999,82.55,4.233333333333333,0.4064,52.784375,64.1604,61.3664,23.876,20.574,2.2859999999999996,55.5752,53.8226
"1 1/2in",82.55,88.89999999999999,4.233333333333333,0.4064,57.308749999999996,69.6468,66.5988,26.3144,22.9108,2.2859999999999996,60.325,58.42
"1 5/8in",88.89999999999999,95.25,5.08,0.4064,61.83312499999999,75.1586,71.8566,28.3464,24.8412,2.2859999999999996,65.0748,63.0174
"1 3/4in",95.25,101.6,5.08,0.4064,66.35749999999999,80.645,77.089,30.3784,26.7716,3.0479999999999996,69.85,67.6148
"1 7/8in",101.6,107.94999999999999,5.08,0.4064,70.881875,86.1568,82.3468,32.4104,28.702,3.0479999999999996,74.6252,72.2376
"2in",107.94999999999999,114.3,5.644444444444444,0.4064,75.40625,91.6432,87.6046,35.2552,29.845,3.0479999999999996,79.375,76.835
"2 1/4in",120.64999999999999,127.0,5.644444444444444,0.4064,84.45499999999998,102.6414,98.0948,39.3192,33.7058,4.826,88.9,86.0552
"2 1/2in",133.35,139.7,6.35,0.4064,93.50375,113.6396,108.585,43.3832,37.5666,4.826,98.425,95.25
"2 3/4in",146.04999999999998,152.39999999999998,6.35,0.4064,102.55249999999998,124.6378,119.0752,47.4726,41.4528,4.826,107.95,104.4448
"3in",158.75,165.1,6.35,0.4064,111.60125,135.636,129.5908,52.324,46.101,4.826,117.475,113.665


"ASMEB18.2.1.3length"
"Nominal","Min","Max"
"1/4in",5.588,7.112
"3/8in",8.762999999999998,10.287
"1/2in",11.937999999999999,13.462
"5/8in",15.112999999999998,16.637
"3/4in",18.287999999999997,19.812
"7/8in",21.462999999999997,22.987
"1in",24.637999999999998,26.162
"1 1/4in",30.987999999999996,32.512
"1 1/2in",37.337999999999994,38.862
"1 3/4in",43.687999999999995,45.211999999999996
"2in",50.038,51.56199999999999
"2 1/4in",56.388000000000005,57.91199999999999
"2 1/2in",62.738,64.26199999999999
"2 3/4in",69.08800000000001,70.612
"3in",75.438,76.96199999999999
"3 1/4in",81.788,83.31199999999998
"3 1/2in",88.138,89.66199999999999
"3 3/4in",94.488,96.01199999999999
"4in",100.838,102.362
"4 1/2in",113.03,115.57
"5in",125.73,128.26999999999998
"5 1/2in",138.43,140.97
"6in",151.13,153.67
"6 1/2in",163.82999999999998,166.36999999999998
"7in",176.53,179.07
"7 1/2in",189.23,191.76999999999998
"8in",201.93,204.47
"9in",227.32999999999996,229.87
"10in",252.72999999999996,255.27
"12in",303.53,306.07

"ASMEB18.2.1.3range"
"Dia","Min_L","Max_L"
"3/8in","3/4in","10in"
"1/2in","3/4in","10in"
"5/8in","3/4in","10in"
"3/4in","1in","10in"
"7/8in","1in","10in"
"1in","1in","10in"
"1 1/8in","1 1/4in","10in"
"1 1/4in","1 1/4in","10in"
"1 3/8in","1 1/2in","10in"
"1 1/2in","1 1/2in","10in"
"1 5/8in","2in","10in"
"1 3/4in","2in","10in"
"1 7/8in","2in","10in"
"2in","2in","10in"
"2 1/4in","2 1/2in","10in"
"2 1/2in","2 1/2in","10in"
"2 3/4in","3in","10in"
"3in","3in","10in"
