"ASMEB18.2.1.6def"
"Dia","b","P","c","dw","e_max","e_min","k_max","k_min","r","s_max","s_min"
"1/4in",19.05,1.27,0.4064,10.556875,12.827,12.3952,4.1402,3.81,0.370416666666667,11.1252,10.8712
"5/16in",22.225,1.41111111111111,0.4064,12.065,14.6558,14.1478,5.3594,4.953,0.423333333333333,12.7,12.4206
"3/8in",25.4,1.5875,0.4064,13.573125,16.51,15.9512,6.1722,5.7404,0.47625,14.2748,13.9954
"7/16in",28.575,1.81428571428571,0.4064,15.08125,18.3388,17.7292,7.3914,6.9088,0.529166666666667,15.875,15.5448
"1/2in",31.75,1.95384615384615,0.4064,18.0975,21.9964,21.336,8.2042,7.6708,0.635,19.05,18.6944
"5/8in",38.1,2.30909090909091,0.4064,22.621875,27.5082,26.6954,10.2362,9.6012,0.79375,23.8252,23.4188
"3/4in",44.45,2.54,0.4064,27.14625,32.9946,31.8516,12.2682,11.557,0.9525,28.575,27.94
"7/8in",50.8,2.82222222222222,0.4064,31.670625,38.5064,37.211,14.3002,13.4874,1.11125,33.3248,32.639
"1in",57.15,3.175,0.4064,36.195,43.9928,42.545,15.9258,15.0114,1.27,38.1,37.3126
"1 1/8in",63.5,3.62857142857143,0.4064,40.719375,49.5046,47.2186,18.2372,16.7132,1.42875,42.8752,41.4274
"1 1/4in",69.85,3.62857142857143,0.4064,45.24375,54.991,52.4764,20.6502,19.0246,1.5875,47.625,46.0248
"1 3/8in",76.2,4.23333333333333,0.4064,49.768125,60.5028,57.7342,22.3012,20.574,1.74625,52.3748,50.6476
"1 1/2in",82.55,4.23333333333333,0.4064,54.2925,65.9892,62.992,24.7396,22.9108,1.905,57.15,55.245
"1 3/4in",95.25,5.08,0.4064,63.34125,76.9874,73.4822,28.8036,26.7716,2.2225,66.675,64.4652
"2in",107.95,5.64444444444444,0.4064,72.39,87.9856,83.9724,32.0802,29.845,2.54,76.2,73.66
"2 1/4in",120.65,5.64444444444444,0.4064,81.43875,98.9838,94.4626,36.1442,33.7058,2.8575,85.725,82.8548
"2 1/2in",133.35,6.35,0.4064,90.4875,109.982,104.9782,40.2082,37.5666,3.175,95.25,92.075
"2 3/4in",146.05,6.35,0.4064,99.53625,120.9802,115.4684,44.2976,41.4528,3.4925,104.775,101.2952
"3in",158.75,6.35,0.4064,108.585,131.9784,125.9586,49.149,46.101,3.81,114.3,110.49
"3 1/4in",171.45,6.35,0.4064,117.63375,,54.0001,4.1275,123.825,,,
"3 1/2in",184.15,6.35,0.4064,126.6825,,57.3024,4.445,133.35,,,
"3 3/4in",196.85,6.35,0.4064,135.73125,,62.1538,4.7625,142.875,,,
"4in",209.55,6.35,0.4064,144.78,,65.4304,5.08,152.4,,,
"4 1/4in",222.35,6.35,0.4064,153.82875,,70.3072,5.3975,161.925,,,
"4 1/2in",234.95,6.35,0.4064,162.8775,,73.025,5.715,171.45,,,
"4 3/4in",247.65,6.35,0.4064,171.92625,,76.2,6.0325,180.975,,,
"5in",260.35,6.35,0.4064,180.975,,79.375,6.35,190.5,,,
"5 1/4in",273.05,6.35,0.4064,190.02375,,85.725,6.6675,200.025,,,
"5 1/2in",285.75,6.35,0.4064,199.0725,,88.9,6.985,209.549,,,
"5 3/4in",298.45,6.35,0.4064,208.12125,,92.075,7.3025,219.075,,,
"6in",311.15,6.35,0.4064,217.17,,95.25,7.62,228.6,,,


"ASMEB18.2.1.6length"
"Nominal","Min","Max"
"1/4in",6.1595,6.5405
"3/8in",9.23925,9.81075
"1/2in",12.319,13.081
"1in",24.638,26.162
"1 1/4in",30.7975,32.7025
"1 3/8in",33.87725,35.97275
"1 1/2in",36.957,39.243
"1 5/8in",40.03675,42.51325
"1 3/4in",43.1165,45.7835
"2in",49.276,52.324
"2 1/4in",55.4355,58.8645
"2 1/2in",61.595,65.405
"2 3/4in",67.7545,71.9455
"3in",73.914,78.486
"3 1/4in",80.0735,85.0265
"3 1/2in",86.233,91.567
"3 3/4in",92.3925,98.1075
"4in",98.552,104.648
"4 1/4in",104.7115,111.1885
"4 1/2in",110.871,117.729
"4 3/4in",117.0305,124.2695
"5in",123.19,130.81
"5 1/4in",129.3495,137.3505
"5 1/2in",135.509,143.891
"6in",147.828,156.972
"6 1/2in",160.147,170.053
"7in",172.466,183.134
"7 1/2in",184.785,196.215
"8in",197.104,209.296
"9in",221.742,235.458
"10in",246.38,261.62
"12in",295.656,313.944
"14in",344.932,366.268
"16in",394.208,418.592

"ASMEB18.2.1.1range"
"ASMEB18.2.1.6range"
"Dia","Min_L","Max_L"
"1/4in","3/8in","12in"
"5/16in","1/2in","12in"
"3/8in","1/2in","12in"
"7/16in","3/4in","12in"
"1/2in","3/4in","12in"
"5/8in","3/4in","14in"
"3/4in","1in","14in"
"7/8in","1 1/2in","14in"
"1in","1 1/2in","14in"
"1 1/8in","1 5/8in","14in"
"1 1/4in","1 5/8in","14in"
"1 3/8in","1 3/4in","14in"
"1 1/2in","1 3/4in","14in"
"1 3/4in","2in","14in"
"2in","2 1/2in","14in"
"2 1/4in","2 1/2in","14in"
"2 1/2in","3in","14in"
"2 3/4in","3in","14in"
"3in","3 1/2in","14in"
"3 1/4in","3 3/4in","14in"
"3 1/2in","3 3/4in","14in"
"3 3/4in","4in","14in"
"4in","4in","14in"
"4 1/4in","4in","14in"
"4 1/2in","4in","14in"
"4 3/4in","4in","14in"
"5in","4in","14in"
"5 1/4in","4in","14in"
"5 1/2in","4in","14in"
"5 3/4in","4in","14in"
"6in","4in","14in"
