"ASMEB18.2.1.7def"
"Dia","b1","b2","P","c","dw","e_max","e_min","k_max","k_min","r","s_max","s_min"
"3/8in",25.4,31.75,1.5875,0.4064,16.589374999999997,20.1676,19.3802,6.1722,5.7404,0.5820833333333333,17.4752,16.9926
"1/2in",31.75,38.099999999999994,1.9538461538461538,0.4064,21.113749999999996,25.654,24.6126,8.2042,7.6708,0.7408333333333332,22.225,21.59
"5/8in",38.099999999999994,44.449999999999996,2.309090909090909,0.4064,25.638124999999995,31.1658,29.845,10.2362,9.6012,0.8995833333333333,26.9748,26.1874
"3/4in",44.449999999999996,50.8,2.54,0.4064,30.162499999999998,36.6522,35.1282,12.2682,11.557,1.0583333333333333,31.75,30.7848
"7/8in",50.8,57.15,2.822222222222222,0.4064,34.68687499999999,42.164,40.3606,14.3002,13.4874,1.2170833333333333,36.5252,35.4076
"1in",57.15,63.5,3.175,0.4064,39.21125,47.6504,45.6184,15.9258,15.0114,1.3758333333333332,41.275,40.005
"1 1/8in",69.85,76.19999999999999,3.6285714285714286,0.4064,43.73562499999999,53.1622,50.8508,18.2372,16.7132,1.5345833333333332,46.0248,44.6024
"1 1/4in",76.19999999999999,82.55,3.6285714285714286,0.4064,48.26,58.6486,56.1086,20.6502,19.0246,1.6933333333333331,50.8,49.2252
"1 3/8in",76.19999999999999,88.89999999999999,4.233333333333333,0.4064,52.784375,64.1604,61.3664,22.3012,20.574,1.8520833333333333,55.5752,53.8226
"1 1/2in",82.55,88.89999999999999,4.233333333333333,0.4064,57.308749999999996,69.6468,66.5988,24.7396,22.9108,2.0108333333333333,60.325,58.42
"1 5/8in",95.25,101.6,5.08,0.4064,61.83312499999999,75.1586,71.8566,26.3652,24.4348,2.169583333333333,65.0748,63.0174
"1 3/4in",101.6,107.94999999999999,5.08,0.4064,66.35749999999999,80.645,77.089,28.8036,26.7716,2.328333333333333,69.85,67.6148
"1 7/8in",101.6,114.3,5.08,0.4064,70.881875,86.1568,82.3468,30.4292,28.2956,2.487083333333333,74.6252,72.2376
"2in",107.94999999999999,127.0,5.644444444444444,0.4064,75.40625,91.6432,87.6046,32.0802,29.845,2.6458333333333335,79.375,76.835
"2 1/4in",114.3,139.7,5.644444444444444,0.4064,81.43874999999998,98.9838,94.4626,36.1442,33.7058,2.8575,85.725,82.8548
"2 1/2in",120.64999999999999,152.39999999999998,6.35,0.4064,87.47124999999998,109.982,104.9782,37.5666,33.7058,3.0691666666666664,95.25,92.075
"2 3/4in",127.0,165.1,6.35,0.4064,93.50375,117.3226,112.1664,41.4528,37.5666,3.2808333333333333,101.6,98.425
"3in",127.0,177.79999999999998,6.35,0.4064,102.55249999999998,131.9784,125.9586,46.101,41.4528,3.598333333333333,114.3,110.49
"3 1/4in",127.0,190.5,6.35,0.4064,111.60125,142.9766,136.7536,50.7492,46.101,3.915833333333333,123.825,119.6848
"3 1/2in",127.0,203.2,6.35,0.4064,120.64999999999999,153.9748,147.1676,53.848,50.7492,4.233333333333333,133.35,128.905
"3 3/4in",203.2,203.2,6.35,0.4064,138.74749999999997,168.656,161.0614,62.1538,58.4962,4.868333333333333,146.05,141.2748
"4in",215.89999999999998,215.89999999999998,6.35,0.4064,144.77999999999997,179.6542,171.577,65.4304,61.5696,5.079999999999999,155.575,150.495
"4 1/4in",228.6,228.6,6.35,0.4064,156.845,190.6524,182.0672,70.3072,66.2432,5.503333333333333,165.1,159.7152
"4 1/2in",241.29999999999998,241.29999999999998,6.35,0.4064,165.89374999999998,201.6506,192.5574,73.5584,69.2912,5.820833333333334,174.625,168.91
"4 3/4in",254.0,254.0,6.35,0.4064,174.94249999999997,212.6488,203.0476,78.4352,73.9648,6.138333333333333,184.15,178.1048
"5in",266.7,266.7,6.35,0.4064,183.99124999999998,223.647,213.5632,81.7118,77.0382,6.455833333333333,193.675,187.325
"5 1/4in",279.4,279.4,6.35,0.4064,193.04,234.6452,224.0534,86.5632,81.6864,6.7733333333333325,203.2,196.5452
"5 1/2in",292.09999999999997,292.09999999999997,6.35,0.4064,202.08874999999998,245.6434,234.5436,89.8652,84.7852,7.090833333333333,212.725,205.74
"5 3/4in",304.79999999999995,304.79999999999995,6.35,0.4064,211.1375,256.6416,245.0338,94.7166,89.4334,7.408333333333333,222.25,214.9348
"6in",317.5,317.5,6.35,0.4064,223.2025,267.6398,255.524,97.9932,92.5068,7.831666666666666,234.95,224.155


"ASMEB18.2.1.7length"
"Nominal","Min","Max"
"3/8in",8.762999999999998,10.287
"1/2in",11.937999999999999,13.462
"5/8in",15.112999999999998,16.637
"3/4in",18.287999999999997,19.812
"7/8in",21.462999999999997,22.987
"1in",24.637999999999998,26.162
"1 1/4in",30.987999999999996,32.512
"1 1/2in",37.337999999999994,38.862
"1 3/4in",43.687999999999995,45.211999999999996
"2in",50.038,51.56199999999999
"2 1/4in",56.388000000000005,57.91199999999999
"2 1/2in",62.738,64.26199999999999
"2 3/4in",69.08800000000001,70.612
"3in",75.438,76.96199999999999
"3 1/4in",81.788,83.31199999999998
"3 1/2in",88.138,89.66199999999999
"3 3/4in",94.488,96.01199999999999
"4in",100.838,102.362
"4 1/4in",106.67999999999999,109.21999999999998
"4 1/2in",113.03,115.57
"4 3/4in",119.38,121.91999999999999
"5in",125.73,128.26999999999998
"5 1/2in",138.43,140.97
"6in",151.13,153.67
"6 1/2in",163.82999999999998,166.36999999999998
"7in",176.53,179.07
"7 1/2in",189.23,191.76999999999998
"8in",201.93,204.47
"9in",227.32999999999996,229.87
"10in",252.72999999999996,255.27
"12in",303.53,306.07
"14in",354.33,356.87
"16in",405.12999999999994,407.67
"18in",455.92999999999995,458.46999999999997
"20in",506.72999999999996,509.27

"ASMEB18.2.1.7range"
"Dia","Min_L","Max_L"
"3/8in","3/4in","6in"
"1/2in","3/4in","8in"
"5/8in","1in","8in"
"3/4in","1in","10in"
"7/8in","1 1/2in","10in"
"1in","1 1/2in","12in"
"1 1/8in","2in","12in"
"1 1/4in","2in","12in"
"1 3/8in","2 1/4in","12in"
"1 1/2in","2 1/4in","12in"
"1 5/8in","3in","12in"
"1 3/4in","3in","14in"
"1 7/8in","3in","14in"
"2in","3in","16in"
"2 1/4in","3 1/2in","16in"
"2 1/2in","4in","16in"
"2 3/4in","4in","16in"
"3in","4in","16in"
"3 1/4in","5in","18in"
"3 1/2in","5in","18in"
"3 3/4in","6in","20in"
"4in","6in","20in"
"4 1/4in","6in","20in"
"4 1/2in","7in","20in"
"4 3/4in","7in","20in"
"5in","8in","20in"
"5 1/4in","8in","20in"
"5 1/2in","9in","20in"
"5 3/4in","9in","20in"
"6in","10in","20in"
