"ASMEB18.2.1.9def"
"Dia","b","G","H_max","H_min","K_max","K_min","C_max","C_min","B","T","r1"
"1/4in",15.875,7.2898,6.477,6.223,1.778,1.524,9.525,9.271,5.2654,1.6002,0.254
"5/16in",19.8438,9.1948,8.2042,7.9502,2.54,2.286,11.9126,11.6078,6.764,2.0066,0.3175
"3/8in",23.8125,10.9474,10.0076,9.7536,3.175,2.921,14.2748,13.97,7.8816,2.54,0.381
"7/16in",27.7812,12.6746,11.9888,11.7348,3.937,3.683,16.6624,16.3068,9.177,2.6924,0.4445
"1/2in",31.75,14.5034,13.081,12.827,4.064,3.81,19.05,18.669,10.447,2.9718,0.508
"9/16in",35.7188,16.383,13.9954,13.7414,4.191,3.8862,21.4376,21.0312,11.844,3.6576,0.5715
"5/8in",39.6875,18.161,16.002,15.748,5.08,4.7752,23.8252,23.3934,13.1648,4.1148,0.635
"3/4in",47.625,21.844,19.9898,19.7358,6.477,6.1722,28.575,28.1178,15.7048,5.3594,0.762
"7/8in",55.5625,25.4,21.9964,21.7424,6.858,6.604,33.3248,32.8422,18.2702,6.3246,0.889
"1in",63.5,28.9052,27.0002,26.7462,9.017,8.7122,38.1,37.5666,21.3182,6.8834,1.016
"1 1/8in",71.4375,32.512,29.9974,29.7434,9.7028,9.398,42.8752,42.291,23.9598,7.9248,1.143
"1 1/4in",79.375,36.068,32.9946,32.7406,10.7188,10.414,47.625,47.0408,26.576,8.89,1.27
"1 3/8in",87.3125,39.6748,35.9918,35.7378,11.5062,11.2014,52.3748,51.7652,29.243,9.9314,1.397


"ASMEB18.2.1.9length"
"Nominal","Min","Max"
"1/4in",6.1595,6.5405
"3/8in",9.2392,9.8107
"1/2in",12.319,13.081
"5/8in",15.3987,16.3513
"3/4in",18.4785,19.6215
"1in",24.638,26.162
"1 1/4in",30.7975,32.7025
"1 1/2in",36.957,39.243
"2in",49.276,52.324
"2 1/2in",61.595,65.405
"3in",73.914,78.486

"ASMEB18.2.1.9range"
"Dia","Min_L","Max_L"
"1/4in","1/4in","3in"
"5/16in","1/4in","3in"
"3/8in","3/8in","3in"
"7/16in","1/2in","3in"
"1/2in","1/2in","3in"
"9/16in","1/2in","3in"
"5/8in","5/8in","3in"
"3/4in","3/4in","3in"
"7/8in","3/4in","3in"
"1in","1in","3in"
"1 1/8in","1in","3in"
"1 1/4in","1in","3in"
"1 3/8in","1in","3in"
