"ASMEB18.2.2.11Adef"
"ASMEB18.2.2.11Bdef"
"Dia","P","da","s_min","s_max","e_min","e_max","m_a_min","m_a_max","m_b_min","m_b_max"
"1/4in",1.27,6.985,12.3952,12.7000,14.1224,14.6558,5.5372,6.3500,3.9624,4.7752
"5/16in",1.41111111111111,8.73125,13.8684,14.2748,15.7988,16.5100,7.1120,7.9756,4.7244,5.5880
"3/8in",1.5875,10.4775,16.9926,17.4752,19.3802,20.1676,8.6614,9.5758,5.4864,6.4008
"7/16in",1.81428571428571,12.22375,18.4912,19.0500,21.0820,21.9964,10.2362,11.2014,6.2738,7.2390
"1/2in",1.95384615384615,13.97,21.5900,22.2250,24.6126,25.6540,11.7856,12.8016,7.0358,8.0518
"9/16in",2.11666666666667,15.71625,23.0886,23.8252,26.3398,27.5082,13.3604,14.4272,7.7978,8.8646
"5/8in",2.30909090909091,17.4625,26.1874,26.9748,29.8450,31.1658,14.9098,16.0274,8.5598,9.6774
"3/4in",2.54,20.955,30.7848,31.7500,35.1028,36.6522,18.0340,19.2532,10.1092,11.3284
"7/8in",2.82222222222222,24.4475,35.4076,36.5252,40.3606,42.1640,21.1582,22.4790,11.6332,12.9540
"1in",3.175,27.94,40.0050,41.2750,45.6184,47.6504,24.2824,25.7048,13.1826,14.6050
"1 1/8in",3.62857142857143,31.4325,44.6024,46.0248,50.8508,53.1622,27.4066,28.9306,14.7066,16.2306
"1 1/4in",3.62857142857143,34.925,49.2252,50.8000,56.1086,58.6486,30.1498,31.7754,17.4498,19.0754
"1 3/8in",4.23333333333333,38.4175,53.8226,55.5752,61.3664,64.1604,33.2740,34.9932,18.9738,20.6930
"1 1/2in",4.23333333333333,41.91,58.4200,60.3250,66.5988,69.6468,36.3982,38.2270,20.5232,22.3520
"1 5/8in",5.08,45.4025,63.0174,65.0748,71.8312,75.1586,39.5224,41.4528,22.0472,23.9776
"1 3/4in",5.08,48.895,67.6148,69.8500,77.0890,80.6450,42.6466,44.6786,23.5966,25.6286
"1 7/8in",5.64444444444444,52.3875,72.2376,74.6252,82.3468,86.1568,45.7708,47.9044,25.1206,27.2542
"2in",5.64444444444444,55.88,76.8350,79.3750,87.6046,91.6432,48.8950,51.1302,26.6700,28.9052
"2 1/8in",5.997222,59.3725,81.4451,84.1375,92.8497,97.1423,51.8160,54.1528,28.0035,30.3403
"2 1/4in",6.35,62.865,86.0552,88.9000,98.0948,102.6414,54.7370,57.1754,29.3370,31.7754
"2 1/2in",6.35,69.85,95.2500,98.4250,108.5850,113.6396,60.9854,63.6270,35.5854,38.2270
"2 3/4in",6.35,76.835,104.4448,107.9500,119.0752,124.6378,67.2338,70.0786,38.6588,41.5036
"3in",6.35,83.82,113.6650,117.4750,129.5908,135.6360,73.4822,76.5302,41.7322,44.7802
"3 1/4in",6.35,90.805,122.8852,127.0000,140.0810,146.6196,79.3496,82.5908,44.3992,47.6404
"3 1/2in",6.35,97.79,132.0800,136.5250,150.5712,157.6578,85.5980,89.0524,47.4980,50.9524
"3 3/4in",6.35,104.775,141.2748,146.0500,161.0614,168.6560,91.8464,95.5040,50.5460,54.2036
"4in",6.35,111.76,150.4950,155.5750,171.5770,179.6542,98.0948,101.9556,53.6448,57.5056
