"ASMEB18.2.2.13Adef"
"Dia","TPI","F_min","F_max","G_min","G_max","B_min","B_max","H_min","H_max","J","K"
"#6",32,7.6708,7.9248,8.6868,9.1694,10.3124,10.7188,3.9624,4.3434,2.54,0.508
"#8",32,8.4836,8.7376,9.6774,10.0838,11.4808,11.9126,4.7498,5.1562,3.302,0.508
"#10",24,9.271,9.525,10.5664,10.9982,12.192,12.7,5.1562,5.5626,3.302,0.762
"#12",24,10.8712,11.1252,12.3952,12.827,14.5796,15.0876,5.6388,5.9944,3.556,1.016
"1/4in",20,10.8712,11.1252,12.3952,12.827,14.5796,15.0876,5.6388,5.9944,3.556,1.016
"5/16in",18,12.4206,12.7,14.1478,14.6558,16.764,17.272,6.8072,7.1882,4.318,1.016
"3/8in",16,13.9954,14.2748,15.9512,16.51,18.4912,19.05,8.382,8.8138,5.842,1.016
"7/16in",14,17.145,17.4752,19.5072,20.1676,23.114,23.7998,9.525,10.033,6.604,1.016
"1/2in",13,18.6944,19.05,21.336,21.9964,25.4,26.1874,11.0998,11.6332,7.874,1.27
"9/16in",12,21.8694,22.225,24.9428,25.654,29.337,30.1752,12.2682,12.8524,8.89,1.27
"5/8in",11,23.4188,23.8252,26.6954,27.5082,31.6992,32.5374,13.843,14.4526,10.16,1.27
"3/4in",10,27.6352,28.575,31.496,32.9946,37.084,38.1,15.9258,17.145,11.684,1.524
