"ASMEB18.2.2.14def"
"Dia","TPI","F_min","F_max","G_min","G_max","H_min","H_max"
"#6",32,7.6708,7.9248,8.7376,9.1694,11.938,12.954
"#8",32,7.6708,7.9248,8.7376,9.1694,15.113,16.383
"#10",24,7.6708,7.9248,8.7376,9.1694,18.0594,19.304
"1/4in",20,10.8712,11.1252,12.3952,12.827,42.926,44.704
"5/16in",18,12.4206,12.7,14.1478,14.6558,42.926,44.704
"3/8in",16,13.9954,14.2748,15.9512,16.51,42.926,44.704
"7/16in",14,15.4178,15.875,17.5768,18.3388,42.926,44.704
"1/2in",13,16.8402,17.4752,19.2024,20.1676,42.926,44.704
"9/16in",12,19.8628,20.6502,22.6314,23.8506,52.5018,54.229
"5/8in",11,19.8628,20.6502,22.6314,23.8506,52.5018,54.229
"3/4in",10,24.4602,25.4,27.8638,29.337,55.626,57.404
"7/8in",9,30.7848,31.75,35.1028,36.6522,61.976,63.754
"1in",8,33.655,34.925,38.3794,40.3352,68.326,70.104
"1 1/8in",7,36.83,38.1,41.9862,43.9928,74.676,76.454
"1 1/4in",7,40.005,41.275,46.355,47.6504,74.676,76.454
"1 1/2in",6,49.53,50.8,57.785,58.6486,87.376,89.154
"1 5/8in",5.5,63.0174,65.0748,71.8312,75.1586,122.682,124.714
"1 3/4in",5,67.6148,69.85,77.089,80.645,132.334,134.366
"1 7/8in",5,72.2376,74.6252,82.3468,86.1568,141.732,144.018
"2in",4.5,76.835,79.375,87.5792,91.6432,151.13,153.416
"2 1/4in",4.5,86.0552,88.9,98.0948,102.6414,170.18,172.72
"2 1/2in",4,95.25,98.425,108.585,113.6396,188.976,191.77
"2 3/4in",4,104.4448,107.95,119.0752,124.6378,208.026,211.074
"3in",4,113.665,117.475,129.5654,135.636,227.076,230.124
"3 1/4in",4,122.8852,127.0,140.081,146.6342,245.872,249.174
"3 1/2in",4,132.08,136.525,150.5712,157.6324,264.922,268.478
"3 3/4in",4,141.2748,146.05,161.036,168.6306,283.718,287.528
"4in",4,150.495,155.575,171.5516,179.6288,302.768,306.832
"4 1/4in",4,159.7152,165.1,182.0672,190.6524,321.818,325.882
"4 1/2in",4,168.91,174.625,192.5574,201.6506,340.868,344.932
"4 3/4in",4,178.1048,184.15,203.0476,212.6488,359.664,364.236
"5in",4,187.325,193.675,213.5632,223.647,378.714,383.286
"5 1/4in",4,196.5452,203.2,224.0534,234.6452,397.51,402.59
"5 1/2in",4,205.74,212.725,234.5436,245.6434,416.56,421.64
"5 3/4in",4,214.9348,222.25,245.0338,256.6416,435.61,440.69
"6in",4,224.155,231.775,255.524,267.6398,454.406,459.994
