"ASMEB18.2.2.1Adef"
"ASMEB18.2.2.1Bdef"
"Dia","P","da","e_max","e_min","m_max","m_min","s_max","s_min"
"#0",0.3175,1.7145,4.572,4.3434,1.27,1.0922,3.9624,3.81
"#1",0.396875,2.085975,4.572,4.3434,1.27,1.0922,3.9624,3.81
"#2",0.453571428571429,2.45745,5.5118,5.207,1.6764,1.4478,4.7752,4.572
"#3",0.529166666666667,2.828925,5.5118,5.207,1.6764,1.4478,4.7752,4.572
"#4",0.635,3.2004,7.3406,6.985,2.4892,2.2098,6.35,6.1214
"#5",0.635,3.571875,9.1694,8.7376,2.8956,2.5908,7.9248,7.6708
"#6",0.79375,3.94335,9.1694,8.7376,2.8956,2.5908,7.9248,7.6708
"#8",0.79375,4.6863,10.0838,9.6012,3.302,2.9718,8.7376,8.4328
"#10",1.05833333333333,5.42925,10.9982,10.4902,3.302,2.9718,9.525,9.1948
"#12",1.05833333333333,6.1722,12.827,12.2428,4.0894,3.7592,11.1252,10.7442
"1/4in",1.27,7.14375,12.827,12.2428,4.9022,4.5212,11.1252,10.7442
"5/16in",1.41111111111111,8.9154,16.51,15.7734,5.715,5.2832,14.2748,13.843
"3/8in",1.5875,10.715625,18.3388,17.5768,6.5278,6.0706,15.875,15.4178
