"ASMEB18.2.2.3def"
"Dia","TPI","F_max","F_min","H_max","H_min"
"1/4in",20,0.438,0.425,0.235,0.203
"5/16in",18,0.562,0.547,0.283,0.249
"3/8in",16,0.625,0.606,0.346,0.31
"7/16in",14,0.75,0.728,0.394,0.356
"1/2in",13,0.812,0.788,0.458,0.418
"5/8in",11,1.0,0.969,0.569,0.525
"3/4in",10,1.125,1.088,0.68,0.632
"7/8in",9,1.312,1.269,0.792,0.74
"1in",8,1.5,1.45,0.903,0.847
"1 1/8in",7,1.688,1.631,1.03,0.97
"1 1/4in",7,1.875,1.812,1.126,1.062
"1 3/8in",6,2.062,1.994,1.237,1.169
"1 1/2in",6,2.25,2.175,1.348,1.276
