"ASMEB18.2.2.5Adef"
"ASMEB18.2.2.5Bdef"
"Dia","P","da","e_max","e_min","m_a_max","m_a_min","m_b_max","m_b_min","s_max","s_min"
"1/4in",1.27,6.985,12.827,12.3952,5.7404,5.3848,4.1402,3.81,11.1252,10.8712
"5/16in",1.41111111111111,8.73125,14.6558,14.1478,6.9342,6.5532,4.953,4.572,12.7,12.4206
"3/8in",1.5875,10.4775,16.51,15.9512,8.5598,8.128,5.7658,5.334,14.3002,13.9954
"7/16in",1.81428571428571,12.22375,20.1676,19.5072,9.779,9.271,6.604,6.096,17.4752,17.145
"1/2in",1.95384615384615,13.97,21.9964,21.336,11.3792,10.8458,8.2042,7.6708,19.05,18.6944
"9/16in",2.11666666666667,15.71625,25.654,24.9428,12.5984,12.0142,8.2296,7.6454,22.225,21.8694
"5/8in",2.30909090909091,17.4625,27.5082,26.6954,14.1986,13.589,9.8298,9.2202,23.8252,23.4188
"3/4in",2.54,20.955,32.9946,31.496,16.891,15.6718,11.3284,10.1092,28.575,27.6352
"7/8in",2.82222222222222,24.4475,38.5064,36.7538,19.7104,18.3896,12.954,11.6332,33.3248,32.2326
"1in",3.175,27.94,43.9928,41.9862,22.5298,21.1074,14.605,13.1826,38.1,36.83
"1 1/8in",3.62857142857143,31.4325,49.5046,47.2186,25.3746,23.8506,16.2306,14.7066,42.8752,41.4274
"1 1/4in",3.62857142857143,34.925,54.991,52.4764,27.7876,26.162,19.0754,17.4498,47.625,46.0248
"1 3/8in",4.23333333333333,38.4175,60.5028,57.7342,30.6324,28.9052,20.701,18.9738,52.3748,50.6476
"1 1/2in",4.23333333333333,41.91,65.9892,62.992,33.4518,31.623,22.352,20.5232,57.15,55.245
"1 5/8in",5.08,45.4025,71.247,68.0466,35.9664,34.6456,23.9776,22.0472,61.722,59.69
"1 3/4in",5.08,48.895,76.9874,73.4822,39.116,37.084,25.6286,23.5966,66.675,64.4652
"1 7/8in",5.64444444444444,52.3875,82.4738,78.8162,41.9354,39.8018,27.2542,25.1206,71.4502,69.1388
"2in",5.64444444444444,55.88,87.9856,83.9724,44.7802,42.545,28.9052,26.67,76.2,73.66
"2 1/8in",5.997222,59.3725,,,,,,,,
"2 1/4in",6.35,62.865,98.9838,94.4626,50.4444,48.006,32.1818,29.337,85.725,82.8802
"2 1/2in",6.35,69.85,109.982,104.9782,56.1086,53.467,36.2458,35.5854,95.25,92.075
"2 3/4in",6.35,76.835,120.9802,115.4684,61.7474,58.9026,39.5224,38.6588,104.775,101.2952
"3in",6.35,83.82,131.9784,125.9586,67.4116,64.3636,42.799,41.7322,114.3,110.49
"3 1/4in",6.35,90.805,142.9766,136.4742,73.0758,69.8246,46.0756,44.3992,123.825,119.7102
"3 1/2in",6.35,97.79,153.9748,146.9644,78.74,75.2856,49.3522,47.498,133.35,128.905
"3 3/4in",6.35,104.775,164.973,157.4546,84.3788,80.7212,52.6288,50.546,142.875,138.1252
"4in",6.35,111.76,175.9712,167.9448,90.043,86.1822,55.9054,53.6448,152.4,147.32
