"ASMEB18.2.2.8def"
"Dia","TPI","F_max","F_min","G_max","G_min","H_max","H_min","T_max","T_min","S_max","S_min"
"1/4in",20,11.1252,10.8712,12.827,12.3952,7.3152,6.9596,5.08,4.572,2.54,1.778
"5/16in",18,12.7,12.4206,14.6558,14.1478,8.5344,8.128,6.096,5.588,3.048,2.286
"3/8in",16,14.2748,13.9954,16.51,15.9512,10.541,10.1092,7.366,6.858,3.81,3.048
"7/16in",14,17.4752,17.145,20.1676,19.5072,11.7602,11.2776,7.874,7.366,3.81,3.048
"1/2in",13,19.05,18.6944,21.9964,21.336,14.5542,14.0208,10.668,10.16,4.572,3.81
"9/16in",12,22.225,21.8694,25.654,24.9428,15.7734,15.1892,10.922,10.414,4.572,3.81
"5/8in",11,23.8252,23.4188,27.5082,26.6954,18.5674,17.9324,12.954,12.446,6.096,4.572
"3/4in",10,28.575,27.6352,32.9946,31.496,21.0058,20.2692,14.478,13.97,6.096,4.572
"7/8in",9,33.3248,32.2326,38.5064,36.7538,23.4188,22.606,17.018,16.256,6.096,4.572
"1in",8,38.1,36.83,43.9928,41.9862,25.8572,24.9428,18.542,17.78,7.62,6.096
"1 1/8in",7,42.8752,41.4274,49.5046,47.2186,29.8704,28.8544,21.082,20.32,8.382,6.096
"1 1/4in",7,47.625,46.0248,54.991,52.4764,32.3088,31.1912,22.606,21.844,10.16,7.874
"1 3/8in",6,52.3748,50.6476,60.5028,57.7342,35.5346,34.3154,25.908,24.892,10.16,7.874
"1 1/2in",6,57.15,55.245,65.9892,62.992,38.7604,37.4396,27.432,26.416,11.684,9.398
