"ASMEB18.21.1.11Bdef"
"Dia","d1_basic","d1_max","d1_min","d2_basic","d2_max","d2_min","h_basic","h_max","h_min"
"1/4in",7.1374,7.5184,7.0104,15.875,16.256,15.748,1.651,2.032,1.2954
"5/16in",8.7376,9.1186,8.6106,17.4752,17.8562,17.2974,1.651,2.032,1.2954
"3/8in",10.3124,10.6934,10.1854,20.6248,21.0058,20.447,1.651,2.032,1.2954
"7/16in",11.9126,12.2936,11.7856,23.4188,23.7998,23.241,1.651,2.032,1.2954
"1/2in",13.4874,13.8684,13.3604,26.9748,27.7368,26.797,2.413,3.0734,1.8796
"9/16in",15.0876,15.4686,14.9606,29.3624,30.1244,29.1846,2.413,3.0734,1.8796
"5/8in",16.6624,17.4244,16.4846,33.3248,34.0868,33.147,2.413,3.0734,1.8796
"3/4in",20.6248,21.3868,20.447,37.3126,38.0746,37.1348,3.4036,4.064,2.7432
"7/8in",23.8252,24.5872,23.6474,44.45,45.212,44.2722,3.4036,4.064,2.7432
"1in",26.9748,27.7368,26.797,50.8,51.562,50.6222,3.4036,4.064,2.7432
"1 1/8in",31.75,32.512,31.5722,57.15,57.912,56.9722,3.4036,4.064,2.7432
"1 1/4in",34.925,35.687,34.7472,63.5,64.262,63.3222,4.191,4.8768,3.4544
"1 3/8in",38.1,38.862,37.9222,69.85,70.612,69.6722,4.191,4.8768,3.4544
"1 1/2in",41.275,42.037,41.0972,76.2,76.962,76.0222,4.191,4.8768,3.4544
