"ASMEB18.21.1.11Cdef"
"Dia","d1_basic","d1_max","d1_min","d2_basic","d2_max","d2_min","h_basic","h_max","h_min"
"1/4in",7.9248,8.3058,7.7978,18.6436,19.0246,18.4658,1.651,2.032,1.2954
"5/16in",9.525,9.906,9.398,22.225,22.987,22.0472,2.1082,2.6416,1.6256
"3/8in",11.1252,11.5062,10.9982,25.4,26.162,25.2222,2.1082,2.6416,1.6256
"7/16in",12.7,13.081,12.573,31.75,32.512,31.5722,2.1082,2.6416,1.6256
"1/2in",14.2748,14.6558,14.1478,34.925,35.687,34.7472,2.7686,3.3528,2.1844
"9/16in",15.875,16.256,15.748,37.3126,38.0746,37.1348,2.7686,3.3528,2.1844
"5/8in",17.4752,18.2372,17.2974,44.45,45.212,44.2722,3.4036,4.064,2.7432
"3/4in",20.6248,21.3868,20.447,50.8,51.562,50.6222,3.7592,4.4958,3.0988
"7/8in",23.8252,24.5872,23.6474,57.15,57.912,56.9722,4.191,4.8768,3.4544
"1in",26.9748,27.7368,26.797,63.5,64.262,63.3222,4.191,4.8768,3.4544
"1 1/8in",31.75,32.512,31.5722,69.85,70.612,69.6722,4.191,4.8768,3.4544
"1 1/4in",34.925,35.687,34.7472,76.2,76.962,76.0222,4.191,4.8768,3.4544
"1 3/8in",38.1,39.243,37.846,82.55,83.693,82.296,4.572,5.4102,3.8862
"1 1/2in",41.275,42.418,41.021,88.9,90.043,88.646,4.572,5.4102,3.8862
