"ASMEB18.21.1.13def"
"Size","d1_basic","d1_max","d1_min","d2_basic","d2_max","d2_min","h_basic","h_max","h_min"
"1/8 x 5/8",4.064,4.318,3.81,15.875,16.6116,15.6718,1.651,2.032,1.1938
"1/8 x 3/4",4.064,4.318,3.81,19.05,19.7866,18.8468,1.651,2.032,1.1938
"5/32 x 7/8",4.826,5.1054,4.6228,22.225,22.9616,22.0218,1.651,2.032,1.1938
"3/16 x 3/4",4.826,5.9182,5.4102,19.05,19.7866,18.8468,1.651,2.032,1.1938
"3/16 x 1",4.826,5.9182,5.4102,25.4,25.8572,25.1968,1.651,2.032,1.1938
"3/16 x 1 1/4",4.826,5.9182,5.4102,31.75,32.4866,31.5468,1.651,2.032,1.1938
"3/16 x 1 1/2",4.826,5.9182,5.4102,38.1,38.8366,37.8968,1.651,2.032,1.1938
"1/4 x 1",7.239,7.493,6.985,25.4,26.1366,25.1968,1.651,2.032,1.1938
"1/4 x 1 1/4",7.239,7.493,6.985,31.75,32.4866,31.5468,1.651,2.032,1.1938
"1/4 x 1 1/2",7.239,7.493,6.985,38.1,38.8366,37.8968,1.651,2.032,1.1938
"1/4 x 1 3/4",7.239,7.493,6.985,44.7294,45.1866,44.2468,1.651,2.032,1.1938
"1/4 x 2",7.239,7.493,6.985,50.8,51.5366,50.5968,1.651,2.032,1.1938
"5/16 x 7/8",8.8392,9.0932,8.5852,22.225,22.9616,22.0218,1.651,2.032,1.1938
"5/16 x 1",8.8392,9.0932,8.5852,25.4,26.1366,25.1968,1.651,2.032,1.1938
"5/16 x 1 1/4",8.8392,9.0932,8.5852,31.75,32.4866,31.5468,1.651,2.032,1.1938
"5/16 x 1 1/2",8.8392,9.0932,8.5852,38.1,38.8366,37.8968,1.651,2.032,1.1938
"5/16 x 1 3/4",8.8392,9.0932,8.5852,44.45,45.1866,44.2468,1.651,2.032,1.1938
"5/16 x 1 5/8",8.8392,9.0932,8.5852,41.275,42.0116,41.0718,1.651,2.032,1.1938
"5/16 x 2",8.8392,9.0932,8.5852,50.8,51.5366,50.5968,1.651,2.032,1.1938
"3/8 x 1 1/4",10.414,10.668,10.16,31.75,32.4866,31.5468,1.651,2.032,1.1938
"3/8 x 1 1/2",10.414,10.668,10.16,38.1,38.8366,37.8968,1.651,2.032,1.1938
"3/8 x 1 3/4",10.414,10.668,10.16,44.45,45.1866,44.2468,1.651,2.032,1.1938
"3/8 x 1 5/8",10.414,10.668,10.16,41.275,42.0116,41.0718,1.651,2.032,1.1938
"3/8 x 2",10.414,10.668,10.16,50.8,51.5366,50.5968,1.651,2.032,1.1938
"1/2 x 1 1/4",13.589,13.843,13.335,31.75,32.4866,31.5468,1.651,2.032,1.1938
"1/2 x 1 1/2",13.589,13.843,13.335,38.1,38.8366,37.8968,1.651,2.032,1.1938
"1/2 x 1 3/4",13.589,13.843,13.335,44.45,45.1866,44.2468,1.651,2.032,1.1938
"1/2 x 2",13.589,13.843,13.335,50.8,51.5366,50.5968,1.651,2.032,1.1938
"1/2 x 2 1/2",13.589,13.843,13.335,63.5,64.2366,63.2968,1.651,2.032,1.1938
