"ASMEB18.3.1Gdef"
"dia","P","b","dk_max","dk_min","k_max","k_min","C_max","J","T","K","r"
"#4",0.025,0.448,0.183,0.176,0.059,0.053,0.009,0.05,0.038,0.008,0.0056
"#5",0.025,0.5,0.205,0.198,0.065,0.059,0.012,0.062,0.044,0.008,0.00625
"#6",0.03125,0.552,0.226,0.218,0.072,0.066,0.013,0.062,0.05,0.008,0.0069
"#8",0.03125,0.656,0.270,0.262,0.085,0.079,0.014,0.078,0.06,0.008,0.0082
"#10",0.0416666666666665,0.76,0.312,0.303,0.098,0.092,0.018,0.094,0.072,0.008,0.0095
"1/4in",0.05,1,0.375,0.365,0.127,0.121,0.025,0.125,0.094,0.01,0.0125
"5/16in",0.0555555555555555,1.25,0.437,0.431,0.158,0.152,0.033,0.156,0.11,0.01,0.015625
"3/8in",0.0625,1.5,0.562,0.550,0.192,0.182,0.04,0.188,0.115,0.01,0.01875
"7/16in",0.0714285714285713,1.75,0.625,0.618,0.223,0.213,0.047,0.219,0.135,0.015,0.021875
"1/2in",0.0769230769230768,2,0.750,0.743,0.254,0.244,0.055,0.25,0.151,0.015,0.025
"5/8in",0.090909090909091,2.5,0.875,0.867,0.316,0.306,0.07,0.312,0.25,0.015,0.03125
