"ASMEB18.3.3Adef"
"Dia","P","b","da","dk_max","dk_min","s","t","r","k_max","k_min"
"#0",0.3175,6.096,1.64592,2.8956,2.6416,0.889,0.48895,0.06096,0.8128,0.6604
"#1",0.396875,7.4168,2.002536,3.5306,3.2766,1.27,0.6985,0.074168,0.9906,0.8382
"#2",0.453571428571429,8.7376,2.359152,4.1656,3.9116,1.27,0.6985,0.087376,1.1684,0.9652
"#3",0.529166666666667,10.0656,2.717712,4.7752,4.4704,1.5875,0.873125,0.100656,1.3208,1.1176
"#4",0.635,11.3792,3.072384,5.4102,5.1054,1.5875,0.873125,0.113792,1.4986,1.2954
"#5",0.635,12.7,3.429,6.0452,5.7404,1.984375,1.09140625,0.127,1.6764,1.4732
"#6",0.79375,14.0208,3.785616,6.6548,6.35,1.984375,1.09140625,0.140208,1.8542,1.6002
"#8",0.79375,16.6624,4.498848,7.9248,7.5692,2.38125,1.3096875,0.166624,2.2098,1.9558
"#10",1.05833333333333,19.304,5.21208,9.1694,8.8138,3.175,1.74625,0.19304,2.5654,2.3114
"1/4in",1.27,25.4,6.858,11.0998,10.6426,3.96875,2.1828125,0.254,3.3528,3.0988
"5/16in",1.41111111111111,31.75,8.5725,13.8938,13.3858,4.7625,2.619375,0.3175,4.2164,3.8608
"3/8in",1.5875,38.1,10.287,16.6624,16.1544,5.55625,3.0559375,0.381,5.0546,4.699
"7/16in",1.81428571428571,44.45,12.0015,19.431,18.9484,6.35,3.4925,0.4445,5.8674,5.5372
"1/2in",1.95384615384615,50.8,13.716,22.225,21.6154,7.9375,4.365625,0.508,6.731,6.223
"5/8in",2.30909090909091,63.5,17.145,25.4,24.638,9.525,5.23875,0.635,8.4074,7.8994
"3/4in",2.54,76.2,20.574,28.575,28.067,11.1125,6.111875,0.762,9.525,9.017

"ASMEB18.3.3Arange"
"Dia","Min_L","Max_L"
"#0","1/16in","1/2in"
"#1","1/16in","1/2in"
"#2","1/16in","1in"
"#3","1/8in","1in"
"#4","1/8in","2in"
"#5","3/16in","2in"
"#6","1/8in","3in"
"#8","1/8in","3in"
"#10","3/16in","3in"
"1/4in","3/16in","4in"
"5/16in","1/4in","4in"
"3/8in","1/4in","5in"
"7/16in","3/8in","5in"
"1/2in","1/2in","5in"
"5/8in","3/4in","5in"
"3/4in","3/4in","6in"
