"ASMEB18.6.3.10Adef"
"Dia","P","A_max","A_min","H_max","H_min","O_max","O_min","J_max","J_min","T_max","T_min"
"#0",0.02083,0.096,0.083,0.043,0.038,0.055,0.047,0.023,0.016,0.025,0.015
"#1",0.02500,0.118,0.104,0.053,0.045,0.066,0.058,0.026,0.019,0.031,0.020
"#2",0.02500,0.140,0.124,0.062,0.053,0.083,0.066,0.031,0.023,0.037,0.025
"#3",0.03125,0.161,0.145,0.070,0.061,0.095,0.077,0.035,0.027,0.043,0.030
"#4",0.03125,0.183,0.166,0.079,0.069,0.107,0.088,0.039,0.031,0.048,0.035
"#5",0.03125,0.205,0.187,0.088,0.078,0.120,0.100,0.043,0.035,0.054,0.040
"#6",0.03937,0.226,0.208,0.096,0.086,0.132,0.111,0.048,0.039,0.060,0.045
"#7",0.03937,0.248,0.229,0.105,0.094,0.144,0.122,0.048,0.039,0.065,0.049
"#8",0.03937,0.270,0.250,0.113,0.102,0.156,0.133,0.054,0.045,0.071,0.054
"#10",0.04167,0.313,0.292,0.130,0.118,0.180,0.156,0.060,0.050,0.083,0.064
"#12",0.04167,0.357,0.334,0.148,0.134,0.205,0.178,0.067,0.056,0.094,0.074
"1/4in",0.05000,0.414,0.389,0.170,0.155,0.237,0.207,0.075,0.064,0.109,0.087
"5/16in",0.05556,0.518,0.490,0.211,0.194,0.295,0.262,0.084,0.072,0.137,0.110
"3/8in",0.06250,0.622,0.590,0.253,0.233,0.355,0.315,0.094,0.081,0.164,0.133
"7/16in",0.07143,0.625,0.589,0.265,0.242,0.368,0.321,0.094,0.081,0.170,0.135
"1/2in",0.07692,0.750,0.710,0.297,0.273,0.412,0.362,0.106,0.091,0.190,0.151
"9/16in",0.08333,0.812,0.768,0.336,0.308,0.466,0.410,0.118,0.102,0.214,0.172
"5/8in",0.09091,0.875,0.827,0.375,0.345,0.521,0.461,0.133,0.116,0.240,0.193
"3/4in",0.10000,1.000,0.945,0.441,0.406,0.612,0.542,0.149,0.131,0.281,0.226

"ASMEB18.6.3.10Bdef"
"Dia","P","A_max","A_min","H_max","H_min","O_max","O_min","J_max","J_min","T_max","T_min","p_max","p_min"
"#0",0.02083,0.096,0.083,0.043,0.038,0.055,0.047,0.023,0.016,0.025,0.015,0.032,0.014
"#1",0.02500,0.118,0.104,0.053,0.045,0.066,0.058,0.026,0.019,0.031,0.020,0.040,0.022
"#2",0.02500,0.140,0.124,0.062,0.053,0.083,0.066,0.031,0.023,0.037,0.025,0.052,0.034
"#3",0.03125,0.161,0.145,0.070,0.061,0.095,0.077,0.035,0.027,0.043,0.030,0.061,0.043
"#4",0.03125,0.183,0.166,0.079,0.069,0.107,0.088,0.039,0.031,0.048,0.035,0.071,0.053
"#5",0.03125,0.205,0.187,0.088,0.078,0.120,0.100,0.043,0.035,0.054,0.040,0.056,0.031
"#6",0.03937,0.226,0.208,0.096,0.086,0.132,0.111,0.048,0.039,0.060,0.045,0.080,0.055
"#7",0.03937,0.248,0.229,0.105,0.094,0.144,0.122,0.048,0.039,0.065,0.049,0.089,0.064
"#8",0.03937,0.270,0.250,0.113,0.102,0.156,0.133,0.054,0.045,0.071,0.054,0.097,0.071
"#10",0.04167,0.313,0.292,0.130,0.118,0.180,0.156,0.060,0.050,0.083,0.064,0.113,0.089
"#12",0.04167,0.357,0.334,0.148,0.134,0.205,0.178,0.067,0.056,0.094,0.074,0.124,0.098
"1/4in",0.05000,0.414,0.389,0.170,0.155,0.237,0.207,0.075,0.064,0.109,0.087,0.144,0.118
"5/16in",0.05556,0.518,0.490,0.211,0.194,0.295,0.262,0.084,0.072,0.137,0.110,0.186,0.160
"3/8in",0.06250,0.622,0.590,0.253,0.233,0.355,0.315,0.094,0.081,0.164,0.133,0.213,0.190
"7/16in",0.07143,0.625,0.589,0.265,0.242,0.368,0.321,0.094,0.081,0.170,0.135,0.239,0.214
"1/2in",0.07692,0.750,0.710,0.297,0.273,0.412,0.362,0.106,0.091,0.190,0.151,0.260,0.235
"9/16in",0.08333,0.812,0.768,0.336,0.308,0.466,0.410,0.118,0.102,0.214,0.172,0.292,0.268
"5/8in",0.09091,0.875,0.827,0.375,0.345,0.521,0.461,0.133,0.116,0.240,0.193,0.310,0.281
