"ASMEB18.6.3.12Bdef"
"ASMEB18.6.3.12Adef"
"Dia","P","A","H","R","J","T"
"#0",0.01250,0.131,0.037,0.087,0.023,0.022
"#1",0.01563,0.164,0.045,0.107,0.026,0.027
"#2",0.01786,0.194,0.053,0.129,0.031,0.031
"#3",0.02083,0.226,0.061,0.151,0.035,0.036
"#4",0.02500,0.257,0.069,0.169,0.039,0.04
"#5",0.02500,0.289,0.078,0.191,0.043,0.045
"#6",0.03125,0.321,0.086,0.211,0.048,0.05
"#8",0.03125,0.384,0.102,0.254,0.054,0.058
"#10",0.04167,0.448,0.118,0.283,0.06,0.068
"#12",0.04167,0.511,0.134,0.336,0.067,0.077
"1/4in",0.05000,0.573,0.15,0.375,0.075,0.087
"5/16in",0.05556,0.698,0.183,0.457,0.084,0.106
"3/8in",0.06250,0.823,0.215,0.538,0.094,0.124
"7/16in",0.07143,0.948,0.248,0.619,0.094,0.142
"1/2in",0.07692,1.073,0.28,0.701,0.106,0.161
"9/16in",0.08333,1.198,0.312,0.783,0.118,0.179
"5/8in",0.09091,1.323,0.345,0.863,0.133,0.196
"3/4in",0.10000,1.573,0.41,1.024,0.149,0.234

"ASMEB18.6.3.12Cdef"
"Dia","P","A_max","A_min","H_max","H_min","R","DriveSize","p_max","p_min"
"#6",0.03937,8.1534,7.6962,2.1844,1.8796,5.3594,"T10",1.397,1.143
"#7",0.03937,8.9408,8.4582,2.3876,2.0574,5.8674,"T15",1.143,0.889
"#8",0.03937,9.7536,9.2456,2.5908,2.2352,6.4516,"T15",1.397,1.143
"#10",0.04167,11.3792,10.795,2.9972,2.6162,7.1882,"T20",1.8034,1.397
"#12",0.04167,12.9794,12.3698,3.4036,2.9972,8.5344,"T25",2.286,1.778
"1/4in",0.05,14.5542,13.8684,3.81,3.3782,9.525,"T27",2.286,1.778
"5/16in",0.05556,17.7292,16.9164,4.6482,4.1148,11.6078,"T30",2.159,1.778
"3/8in",0.0625,20.9042,19.9898,5.461,4.8514,13.6652,"T45",3.175,2.794
"7/16in",0.07143,24.0792,23.0378,6.2992,5.6134,15.7226,"T45",3.937,3.302
"1/2in",0.07692,27.2542,26.1112,7.112,6.35,17.8054,"T50",3.81,3.302
"9/16in",0.08333,30.4292,29.1846,7.9248,7.0866,19.8882,"T55",4.826,4.191
"5/8in",0.09091,33.6042,32.2326,8.763,7.8486,21.9202,"T55",4.826,4.191
"3/4in",0.1,39.9542,38.3794,10.414,9.3472,26.0096,"T60",5.842,5.334
