"ASMEB18.6.3.16Adef"
"Dia","P","A_max","A_min","O_max","O_min","F_max","F_min","J_max","J_min","T_max","T_min","U_max","U_min","X_max","X_min"
"#0",0.02083,0.126,0.119,0.032,0.026,0.012,0.008,0.023,0.016,0.018,0.009,0.098,0.086,0.007,0.002
"#1",0.02500,0.153,0.145,0.041,0.035,0.015,0.011,0.026,0.019,0.024,0.014,0.120,0.105,0.008,0.003
"#2",0.02500,0.181,0.171,0.050,0.043,0.018,0.013,0.031,0.023,0.030,0.020,0.141,0.124,0.010,0.005
"#3",0.03125,0.208,0.197,0.059,0.052,0.022,0.016,0.035,0.027,0.036,0.025,0.162,0.143,0.011,0.006
"#4",0.03125,0.235,0.223,0.068,0.061,0.025,0.018,0.039,0.031,0.042,0.030,0.184,0.161,0.012,0.007
"#5",0.03125,0.263,0.249,0.078,0.069,0.029,0.021,0.043,0.035,0.048,0.035,0.205,0.180,0.014,0.009
"#6",0.03937,0.290,0.275,0.087,0.078,0.032,0.024,0.048,0.039,0.053,0.040,0.226,0.199,0.015,0.010
"#8",0.03937,0.344,0.326,0.105,0.095,0.039,0.029,0.054,0.045,0.065,0.050,0.269,0.236,0.017,0.012
"#10",0.04167,0.399,0.378,0.123,0.112,0.045,0.034,0.060,0.050,0.077,0.060,0.312,0.274,0.020,0.015
"#12",0.04167,0.454,0.430,0.141,0.130,0.052,0.039,0.067,0.056,0.089,0.070,0.354,0.311,0.023,0.018
"1/4in",0.05000,0.525,0.498,0.165,0.152,0.061,0.046,0.075,0.064,0.105,0.084,0.410,0.360,0.026,0.021
"5/16in",0.05556,0.656,0.622,0.209,0.194,0.077,0.059,0.084,0.072,0.134,0.108,0.513,0.450,0.032,0.027
"3/8in",0.06250,0.788,0.746,0.253,0.235,0.094,0.071,0.094,0.081,0.163,0.132,0.615,0.540,0.039,0.034

"ASMEB18.6.3.16Bdef"
"Dia","P","A_max","A_min","O_max","O_min","F_max","F_min","Driver","M_ref","P_max","P_min"
"#0",0.02083,0.126,0.119,0.032,0.026,0.012,0.008,0,0.060,0.034,0.018
"#1",0.02500,0.153,0.145,0.041,0.035,0.015,0.011,0,0.067,0.043,0.027
"#2",0.02500,0.181,0.171,0.050,0.043,0.018,0.013,1,0.097,0.054,0.038
"#3",0.03125,0.208,0.197,0.059,0.052,0.022,0.016,1,0.102,0.059,0.043
"#4",0.03125,0.235,0.223,0.068,0.061,0.025,0.018,1,0.110,0.068,0.052
"#5",0.03125,0.263,0.249,0.078,0.069,0.029,0.021,2,0.137,0.059,0.041
"#6",0.03937,0.290,0.275,0.087,0.078,0.032,0.024,2,0.149,0.072,0.054
"#8",0.03937,0.344,0.326,0.105,0.095,0.039,0.029,2,0.174,0.097,0.079
"#10",0.04167,0.399,0.378,0.123,0.112,0.045,0.034,2,0.192,0.115,0.097
"#12",0.04167,0.454,0.430,0.141,0.130,0.052,0.039,3,0.253,0.125,0.107
"1/4in",0.05000,0.525,0.498,0.165,0.152,0.061,0.046,3,0.267,0.139,0.121
"5/16in",0.05556,0.656,0.622,0.209,0.194,0.077,0.059,4,0.332,0.163,0.145
"3/8in",0.06250,0.788,0.746,0.253,0.235,0.094,0.071,4,0.380,0.213,0.195
