"ASMEB18.6.3.4Adef"
"Dia","P","A_max","A_min","H_max","H_min","O_max","O_min","J_max","J_min","T_max","T_min"
"#0",0.3175,3.0226,2.5146,1.4224,1.4224,0.5334,0.5334,0.5842,0.4064,0.7112,0.4572
"#1",0.396875,3.7084,3.1242,1.7272,1.7272,0.635,0.635,0.6604,0.4826,0.7874,0.508
"#2",0.453571429,4.3688,3.7338,2.032,2.032,0.7366,0.7366,0.7874,0.5842,0.9398,0.635
"#3",0.529166667,5.0546,4.318,2.3368,2.3368,0.8382,0.8382,0.889,0.6858,1.0922,0.762
"#4",0.635,5.715,4.9022,2.6416,2.6416,0.9398,0.9398,0.9906,0.7874,1.2192,0.889
"#5",0.635,6.4008,5.461,2.9464,2.9464,1.0414,1.0414,1.0922,0.889,1.3716,1.016
"#6",0.79375,7.0866,6.096,3.2512,3.2512,1.143,1.143,1.2192,0.9906,1.524,1.143
"#7",0.79375,7.747,6.7056,3.5052,3.5052,1.2446,1.2446,1.2192,0.9906,1.651,1.2446
"#8",0.79375,8.4328,7.2898,3.81,3.81,1.3462,1.3462,1.3716,1.143,1.8034,1.3716
"#10",1.058333333,9.779,8.4582,4.4196,4.4196,1.5748,1.5748,1.524,1.27,2.1082,1.6256
"#12",1.058333333,11.1252,9.6266,5.0292,5.0292,1.778,1.778,1.7018,1.4224,2.3876,1.8796
"1/4in",1.27,12.8778,11.2268,5.842,5.842,2.0828,2.0828,1.905,1.6256,2.7686,2.2098
"5/16in",1.411111111,16.129,14.1224,7.3406,7.3406,2.6162,2.6162,2.1336,1.8288,3.4798,2.794
"3/8in",1.5875,19.3548,16.9672,8.8138,8.8138,3.1242,3.1242,2.3876,2.0574,4.1656,3.3782
"7/16in",1.814285714,20.6248,18.0848,9.3472,9.3472,3.3274,3.3274,2.3876,2.0574,4.318,3.429
"1/2in",1.953846154,22.225,19.4564,10.0584,10.0584,3.5814,3.5814,2.6924,2.3114,4.826,3.8354
"9/16in",2.116666667,25.4,22.2758,11.5062,11.5062,4.1148,4.1148,2.9972,2.5908,5.4356,4.3688
"5/8in",2.309090909,28.575,25.0444,12.954,12.954,4.6228,4.6228,3.3782,2.9464,6.096,4.9022
"3/4in",2.54,34.925,30.607,15.7988,15.7988,5.6388,5.6388,3.7846,3.3274,7.1374,5.7404

"ASMEB18.6.3.4Bdef"
"Dia","P","A_max","A_min","H_max","H_min","O_max","O_min","J_max","J_min","T_max","T_min","p_max","p_min"
"#0",0.3175,3.0226,2.5146,1.4224,1.4224,0.5334,0.5334,0.5842,0.4064,0.7112,0.4572,1.0668,0.6096
"#1",0.396875,3.7084,3.1242,1.7272,1.7272,0.635,0.635,0.6604,0.4826,0.7874,0.508,1.0922,0.6858
"#2",0.453571429,4.3688,3.7338,2.032,2.032,0.7366,0.7366,0.7874,0.5842,0.9398,0.635,1.5748,1.1684
"#3",0.529166667,5.0546,4.318,2.3368,2.3368,0.8382,0.8382,0.889,0.6858,1.0922,0.762,1.8796,1.4732
"#4",0.635,5.715,4.9022,2.6416,2.6416,0.9398,0.9398,0.9906,0.7874,1.2192,0.889,2.1844,1.778
"#5",0.635,6.4008,5.461,2.9464,2.9464,1.0414,1.0414,1.0922,0.889,1.3716,1.016,1.8796,1.4224
"#6",0.79375,7.0866,6.096,3.2512,3.2512,1.143,1.143,1.2192,0.9906,1.524,1.143,2.3622,1.905
"#7",0.79375,7.747,6.7056,3.5052,3.5052,1.2446,1.2446,1.2192,0.9906,1.651,1.2446,2.5146,2.0574
"#8",0.79375,8.4328,7.2898,3.81,3.81,1.3462,1.3462,1.3716,1.143,1.8034,1.3716,2.7432,2.286
"#10",1.058333333,9.779,8.4582,4.4196,4.4196,1.5748,1.5748,1.524,1.27,2.1082,1.6256,3.175,2.7178
"#12",1.058333333,11.1252,9.6266,5.0292,5.0292,1.778,1.778,1.7018,1.4224,2.3876,1.8796,3.429,2.9718
"1/4in",1.27,12.8778,11.2268,5.842,5.842,2.0828,2.0828,1.905,1.6256,2.7686,2.2098,3.8862,3.429
"5/16in",1.411111111,16.129,14.1224,7.3406,7.3406,2.6162,2.6162,2.1336,1.8288,3.4798,2.794,5.0038,4.5466
"3/8in",1.5875,19.3548,16.9672,8.8138,8.8138,3.1242,3.1242,2.3876,2.0574,4.1656,3.3782,6.0198,5.5118
"7/16in",1.814285714,20.6248,18.0848,9.3472,9.3472,3.3274,3.3274,2.3876,2.0574,4.318,3.429,6.2738,5.8166
"1/2in",1.953846154,22.225,19.4564,10.0584,10.0584,3.5814,3.5814,2.6924,2.3114,4.826,3.8354,6.6548,6.1976
"9/16in",2.116666667,25.4,22.2758,11.5062,11.5062,4.1148,4.1148,2.9972,2.5908,5.4356,4.3688,7.239,6.7818
"5/8in",2.309090909,28.575,25.0444,12.954,12.954,4.6228,4.6228,3.3782,2.9464,6.096,4.9022,7.62,7.0866
