"ASMEB18.6.3.9Adef"
"Dia","P","A_max","A_min","H_max","H_min","O_max","O_min","J_max","J_min","T_max","T_min"
"#0",0.0125,2.9464,2.6416,0.9906,0.7874,0.508,0.508,0.5842,0.4064,0.5588,0.3556
"#1",0.01563,3.6068,3.302,1.1684,0.9652,0.635,0.635,0.6604,0.4826,0.6858,0.4572
"#2",0.01786,4.2418,3.937,1.3462,1.143,0.889,0.889,0.7874,0.5842,0.7874,0.5588
"#3",0.02083,4.9022,4.572,1.524,1.2954,0.9398,0.9398,0.889,0.6858,0.9144,0.6604
"#4",0.025,5.5626,5.207,1.7272,1.4732,1.0668,1.0668,0.9906,0.7874,1.016,0.762
"#5",0.025,6.223,5.8674,1.905,1.651,1.1176,1.1176,1.0922,0.889,1.143,0.8636
"#6",0.03125,6.858,6.5024,2.0828,1.8288,1.1684,1.1684,1.2192,0.9906,1.27,0.9398
"#8",0.03125,8.1788,7.7724,2.4384,2.159,1.3208,1.3208,1.3716,1.143,1.4732,1.143
"#10",0.04167,9.4742,9.0678,2.794,2.5146,1.5494,1.5494,1.524,1.27,1.7272,1.3462
"#12",0.04167,10.795,10.3378,3.175,2.8448,1.9812,1.9812,1.7018,1.4224,1.9558,1.5494
"1/4in",0.05,12.4968,12.0142,3.6576,3.302,2.2098,2.2098,1.905,1.6256,2.2098,1.778
"5/16in",0.05556,15.621,15.0876,4.5212,4.1148,2.5146,2.5146,2.1336,1.8288,2.6924,2.159
"3/8in",0.0625,18.796,18.1864,5.3848,4.953,3.6322,3.6322,2.3876,2.0574,3.1496,2.54
"7/16in",0.07143,21.9202,21.2598,6.2738,5.7912,3.8862,3.8862,2.3876,2.0574,3.6068,2.9464
"1/2in",0.07692,25.0698,24.3332,7.1374,6.604,4.445,4.445,2.6924,2.3114,4.0894,3.3274
"9/16in",0.08333,26.4414,25.4,8.001,7.4422,5.0038,5.0038,2.9972,2.5908,4.5466,3.7084
"5/8in",0.09091,29.7688,28.575,8.89,8.255,5.5626,5.5626,3.3782,2.9464,5.0038,4.1148
"3/4in",0.1,36.449,34.925,10.6426,9.906,6.6802,6.6802,3.7846,3.3274,5.9436,4.8768

"ASMEB18.6.3.9Bdef"
"Dia","P","A_max","A_min","H_max","H_min","O_max","O_min","M_ref","Driver","p_max","p_min"
"#0",0.396875,2.9464,2.6416,1.1176,0.9144,0.127,0.127,1.524,0,0.8128,0.3556
"#1",0.396875,3.6068,3.302,1.3462,1.1176,0.127,0.127,1.7018,0,1.016,0.5588
"#2",0.453571429,4.2418,3.937,1.5748,1.3462,0.254,0.254,2.4638,1,1.3208,0.8636
"#3",0.529166667,4.9022,4.572,1.8034,1.5748,0.254,0.254,2.667,1,1.5494,1.0922
"#4",0.635,5.5626,5.207,2.032,1.778,0.254,0.254,2.921,1,1.8034,1.3462
"#5",0.635,6.223,5.8674,2.2606,2.0066,0.381,0.381,3.8608,2,1.8288,1.1684
"#6",0.79375,6.858,6.5024,2.4638,2.2098,0.381,0.381,4.0386,2,2.032,1.397
"#8",0.79375,8.1788,7.7724,2.921,2.667,0.381,0.381,4.445,2,2.4638,1.8034
"#10",1.058333333,9.4742,9.0678,3.3782,3.0988,0.508,0.508,4.8768,2,2.8702,2.2606
"#12",1.058333333,10.795,10.3378,3.8354,3.5306,0.635,0.635,6.4008,3,3.1496,2.4892
"1/4in",1.27,12.4968,12.0142,4.445,4.1148,0.889,0.889,6.9596,3,3.6576,2.9972
"5/16in",1.411111111,15.621,15.0876,5.5372,5.1562,1.016,1.016,8.7122,4,4.3942,3.7846
"3/8in",1.5875,18.796,18.1864,6.6294,6.1976,1.016,1.016,9.7028,4,5.4102,4.826
"7/16in",1.814286,21.9202,21.2598,7.747,7.2136,1.27,1.27,10.3124,4,6.0706,5.4356
"1/2in",1.953846,25.0698,24.3332,8.8392,8.255,1.397,1.397,10.8712,4,6.604,5.969
"9/16in",2.116667,26.4414,25.4,9.9314,9.2964,1.651,1.651,11.6332,4,7.4168,6.8072
"5/8in",2.309091,29.7688,28.575,11.0236,10.3124,1.905,1.905,14.605,5,7.874,7.1374
"3/4in",2.54,36.449,34.925,13.2334,12.3952,2.159,2.159,15.7734,5,8.8646,8.1788

"ASMEB18.6.3.9Cdef"
"Dia","P","A_max","A_min","H_max","H_min","O_max","O_min","DriveSize","p_max","p_min"
"#0",0.396875,2.9464,2.6416,1.1176,0.9144,0.127,0.127,"T6",0.508,0.381
"#1",0.396875,3.6068,3.302,1.3462,1.1176,0.127,0.127,"T6",0.762,0.635
"#2",0.453571429,4.2418,3.937,1.5748,1.3462,0.254,0.254,"T8",0.889,0.762
"#3",0.529166667,4.9022,4.572,1.8034,1.5748,0.254,0.254,"T8",0.9652,0.8382
"#4",0.635,5.5626,5.207,2.032,1.778,0.254,0.254,"T10",1.143,0.889
"#5",0.635,6.223,5.8674,2.2606,2.0066,0.381,0.381,"T10",1.397,1.143
"#6",0.79375,6.858,6.5024,2.4638,2.2098,0.381,0.381,"T15",1.397,1.143
"#8",0.79375,8.1788,7.7724,2.921,2.667,0.381,0.381,"T20",1.778,1.397
"#10",1.058333333,9.4742,9.0678,3.3782,3.0988,0.508,0.508,"T25",2.159,1.778
"#12",1.058333333,10.795,10.3378,3.8354,3.5306,0.635,0.635,"T27",2.159,1.778
"1/4in",1.27,12.4968,12.0142,4.445,4.1148,0.889,0.889,"T30",2.54,2.159
"5/16in",1.411111111,15.621,15.0876,5.5372,5.1562,1.016,1.016,"T40",3.048,2.667
"3/8in",1.5875,18.796,18.1864,6.6294,6.1976,1.016,1.016,"T45",3.683,3.302
"7/16in",1.814286,21.9202,21.2598,7.747,7.2136,1.27,1.27,"T50",4.0386,3.6576
"1/2in",1.953846,25.0698,24.3332,8.8392,8.255,1.397,1.397,"T55",4.572,4.191
