"ASMEB18.6.9.2def"
"Dia","TPI","A_max","A_min","B_max","B_min","C_max","C_min","D_max","D_min","E_max","E_min","G_max","G_min"
"#5",40,0.78,0.72,0.36,0.30,0.13,0.10,0.28,0.22,0.31,0.28,0.22,0.16
"#10",24,0.97,0.91,0.45,0.39,0.15,0.12,0.34,0.28,0.39,0.36,0.28,0.22
"1/4in",20,1.16,1.09,0.56,0.50,0.17,0.14,0.41,0.34,0.47,0.44,0.34,0.28
"5/16in",18,1.44,1.38,0.67,0.61,0.18,0.15,0.50,0.44,0.55,0.52,0.41,0.34
"3/8in",16,1.72,1.66,0.80,0.73,0.20,0.17,0.59,0.53,0.63,0.60,0.47,0.41
"7/16in",14,2.00,1.94,0.91,0.84,0.21,0.18,0.69,0.62,0.71,0.68,0.53,0.47
"1/2in",13,2.31,2.22,1.06,0.94,0.23,0.20,0.78,0.69,0.79,0.76,0.62,0.50
"9/16in",12,2.59,2.47,1.17,1.05,0.25,0.21,0.88,0.78,0.88,0.84,0.69,0.56
"5/8in",11,2.84,2.72,1.31,1.19,0.27,0.23,0.94,0.84,0.96,0.92,0.75,0.62
"3/4in",10,3.31,3.19,1.52,1.39,0.29,0.25,1.10,1.00,1.12,1.08,0.88,0.75
