"ASMEB18.6.9.4Adef"
"Dia","TPI","A_max","A_min","B_max","B_min","C_max","C_min","D_max","D_min","E_max","E_min","F_max","F_min","G_max","G_min"
"#4",40,0.66,0.64,0.36,0.35,0.11,0.09,0.18,0.16,0.27,0.25,0.32,0.30,0.16,0.14
"#5",40,0.66,0.64,0.36,0.35,0.11,0.09,0.18,0.16,0.27,0.25,0.32,0.30,0.16,0.14
"#6",32,0.66,0.64,0.36,0.35,0.11,0.09,0.18,0.16,0.27,0.25,0.32,0.30,0.16,0.14
"#8",32,0.85,0.83,0.43,0.42,0.14,0.12,0.29,0.27,0.38,0.36,0.41,0.40,0.20,0.18
"#10",24,0.85,0.83,0.43,0.42,0.14,0.12,0.29,0.27,0.38,0.36,0.41,0.40,0.20,0.18
"#12",24,0.85,0.83,0.43,0.42,0.14,0.12,0.29,0.27,0.38,0.36,0.41,0.40,0.20,0.18
"1/4in",20,1.08,1.05,0.57,0.53,0.16,0.14,0.32,0.30,0.44,0.42,0.48,0.46,0.23,0.21
"5/16in",18,1.23,1.20,0.64,0.62,0.20,0.18,0.39,0.35,0.50,0.49,0.57,0.55,0.26,0.24
"3/8in",16,1.45,1.42,0.74,0.72,0.23,0.21,0.46,0.42,0.62,0.60,0.69,0.67,0.29,0.27
"7/16in",14,1.89,1.86,0.91,0.90,0.29,0.28,0.67,0.65,0.75,0.73,0.83,0.82,0.38,0.37
"1/2in",13,1.89,1.86,0.91,0.90,0.29,0.28,0.67,0.65,0.75,0.73,0.83,0.82,0.38,0.37
