"ASMEB18.6.9Adef"
"Dia","TPI","A_max","A_min","B_max","B_min","C_max","C_min","D_max","D_min","E_max","E_min","G_max","G_min"
"#3",48,0.72,0.59,0.41,0.28,0.11,0.07,0.21,0.17,0.33,0.29,0.14,0.10
"#4",40,0.72,0.59,0.41,0.28,0.11,0.07,0.21,0.17,0.33,0.29,0.14,0.10
"#5",40,0.91,0.78,0.47,0.34,0.14,0.10,0.27,0.22,0.43,0.39,0.18,0.14
"#6",32,0.91,0.78,0.47,0.34,0.14,0.10,0.27,0.22,0.43,0.39,0.18,0.14
"#8",32,1.10,0.97,0.57,0.43,0.18,0.14,0.33,0.26,0.50,0.45,0.22,0.17
"#10",24,1.10,0.97,0.57,0.43,0.18,0.14,0.33,0.26,0.50,0.45,0.22,0.17
"#12",24,1.25,1.12,0.66,0.53,0.21,0.17,0.39,0.32,0.58,0.51,0.25,0.20
"1/4in",20,1.44,1.31,0.79,0.65,0.24,0.20,0.48,0.42,0.70,0.64,0.30,0.26
"5/16in",18,1.94,1.81,1.00,0.87,0.33,0.26,0.65,0.54,0.93,0.86,0.39,0.35
"3/8in",16,1.94,1.81,1.00,0.87,0.33,0.26,0.65,0.54,0.93,0.86,0.39,0.35
"7/16in",14,2.76,2.62,1.44,1.31,0.40,0.34,0.90,0.80,1.19,1.13,0.55,0.51
"1/2in",13,2.76,2.62,1.44,1.31,0.40,0.34,0.90,0.80,1.19,1.13,0.55,0.51
"9/16in",12,2.76,2.62,1.44,1.31,0.40,0.34,0.90,0.80,1.19,1.13,0.55,0.51
"5/8in",11,2.76,2.62,1.44,1.31,0.40,0.34,0.90,0.80,1.19,1.13,0.55,0.51
"3/4in",10,2.76,2.62,1.44,1.31,0.40,0.34,0.90,0.80,1.19,1.13,0.55,0.51
