"DIN478def"
"Dia","P","b1","b2","c_min","c_max","da","dc","e_min","e_max","k_min","k_max","r","s_min","s_max"
"M5",0.8,16,16,1.88,2.12,5.7,9.5,5.92,6.5,6.82,7.18,0.25,4.82,5
"M6",1,18,18,1.88,2.12,6.8,10.5,7.42,8,7.82,8.18,0.25,5.82,6
"M8",1.25,22,22,1.88,2.12,9.2,13.5,9.42,10,9.82,10.18,0.4,7.78,8
"M10",1.5,26,32,2.88,3.12,11.2,16.5,12.3,13,12.78,13.22,0.4,9.78,10
"M12",1.75,30,36,2.88,3.12,13.7,19.5,16.3,17,14.78,15.22,0.6,12.73,13
"M16",2,38,44,3.85,4.15,17.7,25,21.16,22,19.74,20.26,0.6,16.73,17
"M20",2.5,45,52,4.85,5.15,22.4,31,27.16,28,24.74,25.26,0.8,21.67,22
"M24",3,54,60,5.85,6.15,26.4,36,31,32,27.74,28.26,0.9,23.67,24

"DIN478length"
"Nominal","min","max"
"10",9.71,10.29
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"140",139.2,140.8
"160",159.2,160.8
"180",179.2,180.8

"DIN478range"
"Dia","Min_L","Max_L"
"M5","10","30"
"M6","10","40"
"M8","16","45"
"M10","20","60"
"M12","25","90"
"M16","30","140"
"M20","35","180"
"M24","35","180"
