"DIN571def"
"Dia","ds","da","d3","k_min","k_max","s_min","s_max","P"
"4 mm",4,5,2.8,2.5,3.1,6.64,7,1.8
"5 mm",5,6,3.5,3.13,3.88,7.64,8,2.2
"6 mm",6,7.2,4.2,3.63,4.38,9.64,10,2.6
"8 mm",8,10.2,5.6,5.13,5.88,12.57,13,3.6
"10 mm",10,12.2,7,6.55,7.45,16.57,17,4.5
"12 mm",12,15.2,9,7.55,8.45,18.48,19,5
"16 mm",16,19.2,12,9.55,10.45,23.16,24,6
"20 mm",20,24.4,15,12.1,13.9,29.16,30,7

"DIN571length"
"Nominal","min","max"
"16",15.1,16.9
"20",18.95,21.05
"25",23.95,26.05
"30",28.95,31.05
"35",33.75,36.25
"40",38.75,41.25
"45",43.75,46.25
"50",48.75,51.25
"55",53.5,56.5
"60",58.5,61.5
"65",63.5,66.5
"70",68.5,71.5
"75",73.5,76.5
"80",78.5,81.5
"90",88.25,91.75
"100",98.25,101.75
"110",108.25,111.75
"120",118.25,121.75
"130",128,132
"140",138,142
"150",148,152
"160",158,162
"170",168,172
"180",178,182
"190",187.7,192.3
"200",197.7,202.3

"DIN571range"
"Dia","Min_L","Max_L"
"4 mm","16","40"
"5 mm","16","40"
"6 mm","20","60"
"8 mm","25","100"
"10 mm","30","100"
"12 mm","35","120"
"16 mm","50","160"
"20 mm","60","200"
