"DIN6796def"
"Dia","d1_min","d2_max","s","h"
"M2",2.2,5.0,0.4,0.55
"M2.5",2.7,6.0,0.5,0.665
"M3",3.2,7.0,0.6,0.785
"M3.5",3.7,8.0,0.8,0.99
"M4",4.3,9.0,1.0,1.21
"M5",5.3,11.0,1.2,1.45
"M6",6.4,14.0,1.5,1.85
"M7",7.4,17.0,1.75,2.15
"M8",8.4,18.0,2.0,2.42
"M10",10.5,23.0,2.5,3.0
"M12",13.0,29.0,3.0,3.69
"M14",15.0,35.0,3.5,4.345
"M16",17.0,39.0,4.0,4.915
"M18",19.0,42.0,4.5,5.44
"M20",21.0,45.0,5.0,6.0
"M22",23.0,49.0,5.5,6.6
"M24",25.0,56.0,6.0,7.26
"M27",28.0,60.0,6.5,7.825
"M30",31.0,70.0,7.0,8.6
