"DIN7984def"
"Dia","P","b","dk_max","dk_min","da","ds_min","e","k_max","k_min","r","s_max","s_min","t_max","t_min","v","dw"
"M3",0.5,12,5.5,5.32,3.6,2.86,2.3,2,1.86,0.1,2.10,2.02,1.62,1.38,0.3,4.84
"M4",0.7,14,7,6.78,4.7,3.82,2.87,2.8,2.66,0.2,2.60,2.52,2.42,2.18,0.4,6.2
"M5",0.8,16,8.5,8.28,5.7,4.82,3.44,3.5,3.32,0.2,3.10,3.02,2.82,2.58,0.5,7.7
"M6",1,18,10,9.78,6.8,5.82,4.58,4,3.82,0.25,4.12,4.02,3.12,2.88,0.6,9.2
"M8",1.25,22,13,12.73,9.2,7.78,5.72,5,4.82,0.4,5.14,5.02,3.95,3.65,0.8,12.03
"M10",1.5,26,16,15.73,11.2,9.78,8.01,6,5.82,0.4,7.175,7.025,4.65,4.35,1,15.03
"M12",1.75,30,18,17.73,13.7,11.73,9.15,7,6.78,0.6,8.175,8.025,5.15,4.85,1.2,17.03
"M14",2,34,21,20.67,15.7,13.73,11.43,8,7.78,0.6,10.175,10.025,5.45,5.15,1.4,19.83
"M16",2,38,24,23.67,17.7,15.73,13.72,9,8.78,0.6,12.212,12.032,5.65,5.35,1.6,22.83
"M18",2.5,42,27,26.67,20.2,17.73,13.72,10,9.78,0.6,12.212,12.032,6.68,6.32,1.8,25.83
"M20",2.5,46,30,29.67,22.4,19.67,16,11,10.73,0.8,14.212,14.032,7.68,7.32,2,28.83
"M22",2.5,50,33,32.61,24.4,21.67,16,12,11.73,0.8,14.212,14.032,8.18,7.82,2.2,31.61
"M24",3,54,36,35.61,26.4,23.67,19.44,13,12.73,0.8,17.23,17.05,8.18,7.82,2.4,34.61

"DIN7984length"
"Nominal","Min","Max"
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7

"DIN7984range"
"Dia","Min_L","Max_L"
"M3","5","20"
"M4","6","25"
"M5","8","30"
"M6","10","40"
"M8","12","60"
"M10","16","70"
"M12","20","80"
"M14","30","80"
"M16","30","80"
"M18","40","100"
"M20","40","100"
"M22","50","100"
"M24","50","100"
