"DIN917def"
"Dia","P","g2","h_max","h_min","r","s_max","s_min","t_max","t_min","w"
"M4",0.7,2.75,5.5,5.20,8,7,6.78,4.64,4.16,1.00
"M5",0.8,3,7,6.64,10,8,7.78,5.44,4.96,1.00
"M6",1,3.7,9,8.64,12,10,9.78,7.29,6.71,1.50
"M8",1.25,4.9,12,11.57,15,13,12.73,9.79,9.21,2.00
"M10",1.5,5.6,14,13.57,20,16,15.73,11.35,10.65,2.00
"M12",1.75,6.40,16,15.57,25,18,17.73,13.85,13.15,2.00
"M14",2,7.30,18,17.57,28,21,20.67,15.35,14.65,2.00
"M16",2,7.30,20,19.48,30,24,23.67,17.35,16.65,2.00
"M18",2.5,9.30,22,21.48,32,27,26.16,19.42,18.58,2.00
"M20",2.5,9.30,25,24.48,35,30,29.16,21.42,20.58,2.50
"M22",2.5,9.30,28,27.48,35,34,33.00,22.42,21.58,3.00
"M24",3,10.70,30,29.48,40,36,35.00,24.42,23.58,3.00
"M27",3,10.70,32,31.38,50,41,40.00,26.42,25.58,3.00
"M30",3.5,12.70,34,33.38,60,46,45.00,28.42,27.58,3.00
"M36",4,14.00,44,43.38,70,55,53.80,36.50,35.50,4.00
"M42",4.5,16.00,52,51.26,80,65,63.10,42.50,41.50,4.00
"M48",5,18.50,58,57.26,90,75,73.10,48.50,47.50,4.00
"M56",5.5,20.00,68,67.26,110,85,82.80,56.60,55.40,5.00
"M64",6,21.00,75,74.26,130,95,92.80,62.60,61.40,5.00
"M72",6,21.00,85,84.13,130,105,102.80,67.60,66.40,5.00
