"DIN961def"
"Dia","P","c_min","c_max","da","dw","e","k_min","k_max","r","s_min","s_max"
"M8",1.0,0.15,0.60,9.2,11.6,14.38,5.15,5.45,0.4,12.73,13.00
"M10",1.0,0.15,0.60,11.2,15.6,18.9,6.22,6.58,0.4,16.73,17.00
"M12",1.5,0.15,0.60,13.7,17.4,21.1,7.32,7.68,0.6,18.67,19.00
"M14",1.5,0.15,0.60,15.7,20.5,24.49,8.62,8.98,0.6,21.67,22.00
"M16",1.5,0.20,0.80,17.7,22.5,26.75,9.82,10.18,0.6,23.67,24.00
"M18",2.0,0.20,0.80,20.2,25.3,30.14,11.28,11.72,0.6,26.67,27.00
"M20",1.5,0.20,0.80,22.4,28.2,33.53,12.28,12.72,0.8,29.67,30.00
"M22",2.0,0.20,0.80,24.4,30.0,35.72,13.78,14.22,0.8,31.61,32.00
"M24",2.0,0.20,0.80,26.4,33.6,39.98,14.78,15.22,0.8,35.38,36.00
"M27",2.0,0.20,0.80,30.4,38.0,45.2,16.65,17.35,1.0,40.00,41.00
"M30",2.0,0.20,0.80,33.4,42.7,50.85,18.28,19.12,1.0,45.00,46.00
"M33",2.0,0.20,0.80,36.4,46.6,55.37,20.58,21.42,1.0,49.00,50.00
"M36",3.0,0.20,0.80,39.4,51.1,60.79,22.08,22.92,1.0,53.80,55.00
"M39",3.0,0.30,1.00,42.4,55.9,66.44,24.58,25.42,1.0,58.80,60.00
"M42",3.0,0.30,1.00,45.6,59.9,71.3,25.58,26.42,1.2,63.10,65.00
"M45",3.0,0.30,1.00,48.6,64.7,76.95,27.58,28.42,1.2,68.10,70.00
"M48",3.0,0.30,1.00,52.6,69.4,82.6,29.58,30.42,1.6,73.10,75.00
"M52",3.0,0.30,1.00,56.6,74.2,88.25,32.50,33.50,1.6,78.10,80.00

"DIN961length"
"Nominal","Min","Max"
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"22",21.58,22.42
"25",24.58,25.42
"28",27.58,28.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"75",74.4,75.6
"80",79.4,80.6
"85",84.3,85.7
"90",89.3,90.7
"95",94.3,95.7
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,130.8
"150",149.2,150.8
"160",159.2,160.8
"170",169.2,170.8
"180",179.2,180.8
"190",189.2,190.8
"200",199.1,200.9

"DIN961range"
"Dia","Min_L","Max_L"
"M8","8","120"
"M10","8","150"
"M12","10","180"
"M14","10","200"
"M16","12","200"
"M18","18","200"
"M20","18","200"
"M22","18","200"
"M24","20","200"
"M27","20","200"
"M30","30","200"
"M33","35","200"
"M36","35","200"
"M39","35","200"
"M42","40","200"
"M45","40","200"
"M48","45","200"
"M52","50","200"
