"DIN967def"
"Dia","P","a_max","b_min","da_max","dc_max","dc_min","dw_min","k_max","k_min","c_max","c_min","r_min","rf_ref","x_max","cT","m_ref","mH_typeH","pH_min","pH_max","m_typeZ","mZ_typeZ","pZ_min","pZ_max"
"M3",0.5,1.0,25.0,3.6,7.5,6.92,6.37,2.35,2.10,0.8,0.6,0.1,3.8,1.25,"1",3.0,3.0,1.35,1.8,2.9,2.9,1.58,1.83
"M3.5",0.6,1.2,38.0,4.1,9.0,8.42,7.75,2.6,2.35,0.9,0.7,0.1,4.6,1.5,"2",4.2,4.2,1.4,2.03,3.9,3.9,1.47,1.93
"M4",0.7,1.4,38.0,4.7,10.0,9.42,8.67,3.05,2.75,1.1,0.9,0.2,5.8,1.75,"2",4.6,4.6,1.8,2.46,4.3,4.3,1.88,2.34
"M5",0.8,1.6,38.0,5.7,11.5,10.8,9.94,3.55,3.25,1.35,1.05,0.2,6.6,2.0,"2",5.0,5.0,2.26,2.87,4.7,4.7,2.28,2.74
"M6",1.0,2.0,38.0,6.8,14.5,13.8,12.70,4.55,4.25,1.8,1.4,0.25,8.2,2.5,"3",7.1,7.1,3.0,3.66,6.7,6.7,3.02,3.48
"M8",1.25,2.5,38.0,9.2,19.0,18.16,16.71,5.9,5.6,2.2,1.8,0.4,11.0,3.2,"4",9.0,9.0,4.18,4.68,8.8,8.8,4.06,4.52

"DIN967length"
"Nominal","Min","Max"
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.05,55.95
"60",59.05,60.95

"DIN967range"
"Dia","Min_L","Max_L"
"M3","4","30"
"M3.5","5","35"
"M4","5","40"
"M5","6","45"
"M6","8","60"
"M8","10","60"
