"ISO10512def"
"Dia","P","da_max","da_min","dw","e","h_max","h_min","m","mw","s_max","s_min"
"M8",1.0,8.75,8.0,11.63,14.38,9.5,8.92,6.44,5.15,13.0,12.73
"M10",1.0,10.8,10.0,14.63,17.77,11.9,11.2,8.04,6.43,16.0,15.73
"M12",1.25,12.96,12.0,16.63,20.03,14.9,14.2,10.37,8.3,18.0,17.73
"M14",1.5,15.12,14.0,19.64,23.36,17.0,15.9,12.1,9.68,21.0,20.67
"M16",1.5,17.28,16.0,22.49,26.75,19.1,17.8,14.1,11.28,24.0,23.67
"M18",2.0,19.44,18.0,24.85,29.56,21.2,19.9,15.1,12.08,27.0,26.16
"M20",2.0,21.6,20.0,27.7,32.95,23.0,20.9,16.9,13.52,30.0,29.16
"M22",2.0,23.76,22.0,31.35,37.29,25.0,22.9,18.1,14.48,34.0,33.0
"M24",2.0,25.92,24.0,33.25,39.55,27.1,25.0,20.2,16.16,36.0,35.0
"M27",2.0,29.16,27.0,38.0,45.2,29.9,27.8,22.5,18.0,41.0,40.0
"M30",2.0,32.4,30.0,42.75,50.85,32.6,30.1,24.3,19.44,46.0,45.0
"M33",2.0,35.64,33.0,46.55,55.37,35.7,33.5,27.4,21.92,50.0,49.0
"M36",3.0,38.88,36.0,51.11,60.79,38.9,36.4,29.4,23.52,55.0,53.8
"M39",3.0,42.12,39.0,55.86,66.44,41.9,39.4,31.8,25.44,60.0,58.8
