"DriveSize","A","B","Re"
"T5",1.42,0.975,0.12
"T6",1.709,1.224,0.135
"T7",2.027,1.453,0.165
"T8",2.350,1.687,0.193
"T9",2.535,1.824,0.211
"T10",2.776,1.994,0.231
"T15",3.310,2.367,0.269
"T20",3.894,2.779,0.307
"T25",4.465,3.185,0.378
"T27",5.024,3.579,0.394
"T30",5.557,3.973,0.455
"T40",6.688,4.780,0.549
"T45",7.856,5.570,0.577
"T50",8.872,6.381,0.777
"T55",11.260,7.945,0.770
"T60",13.317,9.505,1.069
"T70",15.603,11.100,1.196
"T80",17.635,12.662,1.529
"T90",20.036,14.247,1.534
"T100",22.245,15.834,1.725
