"ISO1207def"
"Dia","P","a_max","b_min","da_max","dk_max","dk_min","k_max","k_min","n_nominal","n_min","n_max","r_min","t_min","t_max","w_min","x_max"
"M1.6",0.35,0.7,25,2.0,3.0,2.86,1.1,0.96,0.4,0.46,0.6,0.1,0.4,0.5,0.4,0.9
"M2",0.4,0.8,25,2.6,3.8,3.62,1.4,1.26,0.5,0.56,0.7,0.1,0.55,0.65,0.5,1.0
"M2.5",0.45,0.9,25,3.1,4.5,4.32,1.8,1.66,0.6,0.66,0.8,0.1,0.65,0.75,0.7,1.1
"M3",0.5,1.0,25,3.6,5.5,5.32,2.0,1.86,0.8,0.86,1.0,0.1,0.8,0.9,0.75,1.25
"M3.5",0.6,1.2,38,4.1,6.0,5.82,2.4,2.26,1.0,1.06,1.2,0.1,0.95,1.05,1.0,1.5
"M4",0.7,1.4,38,4.7,7.0,6.78,2.6,2.46,1.2,1.26,1.51,0.2,1.05,1.15,1.1,1.75
"M5",0.8,1.6,38,5.7,8.5,8.28,3.3,3.12,1.2,1.26,1.51,0.2,1.25,1.35,1.3,2.0
"M6",1.0,2.0,38,6.8,10.0,9.78,3.9,3.6,1.6,1.66,1.91,0.25,1.55,1.65,1.6,2.5
"M8",1.25,2.5,38,9.2,13.0,12.73,5.0,4.7,2.0,2.06,2.31,0.4,1.95,2.05,2.0,3.2
"M10",1.5,3.0,38,11.2,16.0,15.73,6.0,5.7,2.5,2.56,2.81,0.4,2.35,2.45,2.4,3.8

"ISO1207length"
"Nominal","Min","Max"
"2",1.8,2.2
"3",2.8,3.2
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"18",17.65,18.35
"20",19.58,20.42
"22",21.58,22.42
"25",24.58,25.42
"28",27.58,28.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.05,55.95
"60",59.05,60.95
"65",64.05,65.95
"70",69.05,70.95
"75",74.05,75.95
"80",79.05,80.95

"ISO1207range"
"Dia","Min_L","Max_L"
"M1.6","2","16"
"M2","3","20"
"M2.5","3","25"
"M3","4","30"
"M3.5","5","35"
"M4","5","40"
"M5","6","50"
"M6","8","60"
"M8","10","80"
"M10","12","80"
