"ISO14579def"
"Dia","P","b","dk_max_c","dk_max_d","dk_min","da_max","ds_max","ds_min","f_max","k_max","k_min","r_min","v_max","dw_min","w_min","socket_no","A_ref","t_max","t_min"
"M2",0.4,16.0,3.80,3.98,3.62,2.6,2.00,1.86,0.51,2.00,1.86,0.1,0.2,3.48,0.55,6,1.75,0.84,0.71
"M2.5",0.45,17.0,4.50,4.68,4.32,3.1,2.50,2.36,0.51,2.50,2.36,0.1,0.25,4.18,0.85,8,2.4,1.04,0.91
"M3",0.5,18.0,5.50,5.68,5.32,3.6,3.00,2.86,0.51,3.00,2.86,0.1,0.3,5.07,1.15,10,2.8,1.27,1.01
"M4",0.7,20.0,7.00,7.22,6.78,4.7,4.00,3.82,0.6,4.00,3.82,0.2,0.4,6.53,1.4,20,3.95,1.80,1.42
"M5",0.8,22.0,8.50,8.72,8.28,5.7,5.00,4.82,0.6,5.00,4.82,0.2,0.5,8.03,1.9,25,4.5,2.03,1.65
"M6",1.0,24.0,10.00,10.22,9.78,6.8,6.00,5.82,0.68,6.00,5.70,0.25,0.6,9.38,2.3,30,5.6,2.42,2.02
"M8",1.25,28.0,13.00,13.27,12.73,9.2,8.00,7.78,1.02,8.00,7.64,0.4,0.8,12.33,3.3,45,7.95,3.31,2.92
"M10",1.5,32.0,16.00,16.27,15.73,11.2,10.00,9.78,1.02,10.00,9.64,0.4,1.0,15.33,4.0,50,8.95,4.02,3.62
"M12",1.75,36.0,18.00,18.27,17.73,13.7,12.00,11.73,1.45,12.00,11.57,0.6,1.2,17.23,4.8,55,11.35,5.21,4.82
"M14",2.0,40.0,21.00,21.33,20.67,15.7,14.00,13.73,1.45,14.00,13.57,0.6,1.4,20.17,5.8,60,13.45,5.99,5.62
"M16",2.0,44.0,24.00,24.33,23.67,17.7,16.00,15.73,1.45,16.00,15.57,0.6,1.6,23.17,6.8,70,15.7,7.01,6.62
"M18",2.5,48.0,27.00,27.33,26.67,20.2,18.00,17.73,1.87,18.00,17.57,0.6,1.8,25.87,7.8,80,17.75,8.00,7.50
"M20",2.5,52.0,30.00,30.33,29.67,22.4,20.00,19.67,2.04,20.00,19.48,0.8,2.0,28.87,8.6,90,20.2,9.20,8.69

"ISO14579length"
"Nominal","Min","Max"
"3",2.8,3.2
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,130.8
"150",149.2,150.8
"160",159.2,160.8
"180",179.2,180.8
"200",199.1,200.9

"ISO14579range"
"Dia","Min_L","Max_L"
"M2","3","20"
"M2.5","4","25"
"M3","5","30"
"M4","6","40"
"M5","8","50"
"M6","10","60"
"M8","12","80"
"M10","16","100"
"M12","20","120"
"M14","25","140"
"M16","25","160"
"M18","30","180"
"M20","30","200"
