"ISO14580def"
"Dia","P","a_max","b_min","dk_max","dk_min","da_max","k_max","k_min","r_min","w_min","x_max","socket_no","A_ref","t_max","t_min"
"M2",0.4,0.8,25,3.80,3.62,2.6,1.55,1.41,0.1,0.5,1.0,6,1.75,0.84,0.71
"M2.5",0.45,0.9,25,4.50,4.32,3.1,1.85,1.71,0.1,0.7,1.1,8,2.4,0.91,0.78
"M3",0.5,1,25,5.50,5.32,3.6,2.40,2.26,0.1,0.75,1.25,10,2.8,1.27,1.01
"M3.5",0.6,1.2,38,6.00,5.82,4.1,2.60,2.46,0.1,1.0,1.50,15,3.35,1.33,1.07
"M4",0.7,1.4,38,7.00,6.78,4.7,3.10,2.92,0.2,1.1,1.75,20,3.95,1.66,1.27
"M5",0.8,1.6,38,8.50,8.28,5.7,3.65,3.47,0.2,1.3,2.0,25,4.5,1.91,1.52
"M6",1,2,38,10.00,9.78,6.8,4.40,4.10,0.25,1.6,2.5,30,5.6,2.29,1.90
"M8",1.25,2.5,38,13.00,12.73,9.2,5.80,5.50,0.4,2,3.2,45,7.95,3.05,2.66
"M10",1.5,3,38,16.00,15.73,11.2,6.90,6.54,0.4,2.4,3.8,50,8.95,3.43,3.04

"ISO14580length"
"Nominal","Min","Max"
"3",2.8,3.2
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.05,55.95
"60",59.05,60.95
"65",64.05,65.95
"70",69.05,70.95
"75",74.05,75.95
"80",79.05,80.95

"ISO14580range"
"Dia","Min_L","Max_L"
"M2","3","16"
"M2.5","4","25"
"M3","5","30"
"M3.5","6","35"
"M4","6","40"
"M5","8","50"
"M6","10","60"
"M8","12","80"
"M10","16","100"
