"ISO14581def"
"Dia","P","a_max","b","dk_theo","dk_max","dk_min","ds","k_max","k_min","r_max","r_min","x_max","socket_no","A_ref","t_max","t_min"
"M2",0.4,0.80,25,4.4,3.80,3.50,1.70,1.20,0.985,0.5,0.1,1.00,6,1.75,0.64,0.51
"M2.5",0.45,0.90,25,5.5,4.70,4.40,2.15,1.50,1.224,0.6,0.1,1.10,8,2.40,0.79,0.66
"M3",0.5,1.00,25,6.3,5.50,5.20,2.60,1.65,1.369,0.8,0.1,1.25,10,2.80,0.83,0.70
"M3.5",0.6,1.20,38,8.2,7.30,6.94,3.05,2.35,1.995,0.9,0.15,1.50,15,3.35,1.32,1.16
"M4",0.7,1.40,38,9.4,8.40,8.04,3.50,2.70,2.333,1.0,0.2,1.75,20,3.95,1.53,1.14
"M5",0.8,2.00,38,10.4,9.30,8.94,4.40,2.70,2.28,1.3,0.2,2.00,25,4.50,1.51,1.12
"M6",1,2.50,38,12.6,11.30,10.87,5.30,3.30,2.81,1.5,0.25,2.50,30,5.60,1.78,1.39
"M8",1.25,3.13,38,17.3,15.80,15.37,7.10,4.65,4.06,2.0,0.4,3.20,45,7.95,2.54,2.15
"M10",1.5,3.75,38,20.0,18.30,17.78,8.90,5.00,4.40,2.5,0.4,3.80,50,8.95,2.80,2.41

"ISO14581length"
"Nominal","Min","Max"
"6",5.71,6.29
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7

"ISO14581range"
"Dia","Min_L","Max_L"
"M2","6","30"
"M2.5","6","30"
"M3","8","30"
"M3.5","8","30"
"M4","8","40"
"M5","8","50"
"M6","8","60"
"M8","10","80"
"M10","12","100"
