"ISO14582def"
"Dia","P","a_max","b","dk_theo","dk_max","dk_min","ds_max","ds_min","dg_max","dg_min","rc_max","k_max","r_min","socket_no","A_ref","t_max","t_min"
"M3",0.5,1.0,18,7.40,6.57,6.17,3.30,3.20,3.00,2.86,0.25,2.20,0.10,10,2.8,1.18,0.92
"M4",0.7,1.4,20,10.02,9.02,8.52,4.40,4.30,4.00,3.82,0.25,3.01,0.20,20,3.95,1.69,1.30
"M5",0.8,1.6,22,12.00,10.90,10.27,5.50,5.40,5.00,4.82,0.30,3.50,0.20,25,4.5,1.89,1.50
"M6",1,2.0,24,14.44,13.20,12.46,6.60,6.50,6.00,5.82,0.35,4.22,0.25,30,5.6,2.22,1.83
"M8",1.25,2.5,28,19.38,17.90,17.09,8.54,8.44,8.00,7.78,0.40,5.69,0.40,45,7.93,2.99,2.60
"M10",1.5,3.0,32,23.00,21.30,20.49,10.62,10.52,10.00,9.78,0.40,6.50,0.40,50,8.95,3.30,2.91

"ISO14582length"
"Nominal","Min","Max"
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7

"ISO14582range"
"Dia","Min_L","Max_L"
"M3","8","30"
"M4","8","40"
"M5","8","50"
"M6","8","60"
"M8","10","80"
"M10","12","100"
