"ISO14583def"
"Dia","P","a_max","b_min","da_max","dk_max","dk_min","k_max","k_min","r_min","rf","x_max","socket_no","A_ref","t_max","t_min"
"M2",0.4,0.8,25,2.6,4.0,3.7,1.60,1.46,0.1,3.2,1.0,6,1.75,0.77,0.63
"M2.5",0.45,0.9,25,3.1,5.0,4.7,2.10,1.96,0.1,4.0,1.1,8,2.4,1.04,0.91
"M3",0.5,1.0,25,3.6,5.6,5.3,2.40,2.26,0.1,5.0,1.25,10,2.8,1.27,1.01
"M3.5",0.6,1.2,38,4.1,7.0,6.64,2.60,2.46,0.1,6.0,1.5,15,3.35,1.33,1.07
"M4",0.7,1.4,38,4.7,8.0,7.64,3.10,2.92,0.2,6.5,1.75,20,3.95,1.66,1.27
"M5",0.8,1.6,38,5.7,9.5,9.14,3.70,3.52,0.2,8.0,2.0,25,4.5,1.91,1.52
"M6",1.0,2.0,38,6.8,12.0,11.57,4.60,4.3,0.25,10.0,2.5,30,5.6,2.42,2.02
"M8",1.25,2.5,38,9.2,16.0,15.57,6.0,5.7,0.4,13.0,3.2,45,7.95,3.18,2.79
"M10",1.5,3.0,38,11.2,20.0,19.48,7.50,7.14,0.4,16.0,3.8,50,8.95,4.02,3.62

"ISO14583length"
"Nominal","Min","Max"
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6

"ISO14583range"
"Dia","Min_L","Max_L"
"M2","4","16"
"M2.5","4","20"
"M3","4","25"
"M3.5","6","30"
"M4","6","35"
"M5","8","40"
"M6","10","60"
"M8","12","80"
"M10","16","100"
