"ISO1580def"
"Dia","P","a_max","b_min","da_max","dk_max","dk_min","k_max","k_min","n_max","n_min","r_min","rf_ref","t_min","t_max","w_min","x_max"
"M1.6",0.35,0.7,25,2.0,3.2,2.9,1.0,0.86,0.6,0.46,0.1,0.5,0.3,0.4,0.3,0.9
"M2",0.4,0.8,25,2.6,4.0,3.7,1.3,1.16,0.7,0.56,0.1,0.6,0.4,0.5,0.4,1.0
"M2.5",0.45,0.9,25,3.1,5.0,4.7,1.5,1.36,0.8,0.66,0.1,0.8,0.5,0.6,0.5,1.1
"M3",0.5,1.0,25,3.6,5.6,5.3,1.8,1.66,1.0,0.86,0.1,0.9,0.6,0.7,0.7,1.25
"M3.5",0.6,1.2,38,4.1,7.0,6.64,2.1,1.96,1.2,1.06,0.1,1.0,0.7,0.8,0.8,1.5
"M4",0.7,1.4,38,4.7,8.0,7.64,2.4,2.26,1.51,1.26,0.2,1.2,0.9,1.0,1.0,1.75
"M5",0.8,1.6,38,5.7,9.5,9.14,3.0,2.86,1.51,1.26,0.2,1.5,1.1,1.2,1.2,2.0
"M6",1.0,2.0,38,6.8,12.0,11.57,3.6,3.3,1.91,1.66,0.25,1.8,1.3,1.4,1.4,2.5
"M8",1.25,2.5,38,9.2,16.0,15.57,4.8,4.5,2.31,2.06,0.4,2.4,1.8,1.9,1.9,3.2
"M10",1.5,3.0,38,11.2,20.0,19.48,6.0,5.7,2.81,2.56,0.4,3.0,2.3,2.4,2.4,3.8
