"ISO2009def"
"ISO2010def"
"ISO7046def"
"ISO7047def"
"Dia","P","a_max","b_min","da_max","dk_max","dk_min","k_max","k_min","n_max","n_min","r_min","r_max","t_min","t_max","w_min","x_max"
"M1.6",0.35,0.7,25,3.6,3.0,2.7,1.0,0.86,0.60,0.46,0.1,0.4,0.32,0.50,0.3,0.9
"M2",0.4,0.8,25,4.4,3.8,3.5,1.2,1.06,0.70,0.56,0.1,0.5,0.4,0.6,0.4,1.0
"M2.5",0.45,0.9,25,5.5,4.7,4.4,1.5,1.36,0.80,0.66,0.1,0.6,0.50,0.75,0.5,1.1
"M3",0.5,1.0,25,6.3,5.5,5.2,1.65,1.51,1.00,0.86,0.1,0.8,0.60,0.85,0.7,1.25
"M3.5",0.6,1.2,38,8.2,7.30,6.94,2.35,2.16,1.20,1.06,0.1,0.9,0.9,1.2,0.8,1.5
"M4",0.7,1.4,38,9.4,8.40,8.04,2.7,2.51,1.51,1.26,0.2,1.0,1.0,1.3,1.0,1.75
"M5",0.8,1.6,38,10.4,9.30,8.94,2.7,2.51,1.51,1.26,0.2,1.3,1.1,1.4,1.2,2.0
"M6",1.0,2.0,38,12.6,11.30,10.87,3.3,3.06,1.91,1.66,0.25,1.5,1.2,1.6,1.4,2.5
"M8",1.25,2.5,38,17.3,15.80,15.37,4.65,4.35,2.31,2.06,0.4,2.0,1.8,2.3,1.9,3.2
"M10",1.5,3.0,38,20.0,18.30,17.78,5.0,4.7,2.81,2.56,0.4,2.5,2.0,2.6,2.4,3.8

"ISO1580length"
"ISO2009length"
"ISO2010length"
"ISO7046length"
"ISO7047length"
"Nominal","Min","Max"
"2.5",2.3,2.7
"3",2.8,3.2
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.05,55.95
"60",59.05,60.95
"65",64.05,65.95
"70",69.05,70.95
"75",74.05,75.95
"80",79.05,80.95

"ISO1580range"
"ISO2009range"
"ISO2010range"
"ISO7046range"
"ISO7047range"
"Dia","Min_L","Max_L"
"M1.6","2.5","16"
"M2","3","20"
"M2.5","4","25"
"M3","5","30"
"M3.5","6","35"
"M4","6","40"
"M5","8","50"
"M6","8","60"
"M8","10","80"
"M10","12","80"
