"ISO4014def"
"Dia","P","b1","b2","b3","c_min","c_max","dw","e","k_min","k_max","r","s_min","s_max"
"M1.6",0.35,9.0,15.0,28.0,0.10,0.25,2.54,3.41,0.975,1.225,0.10,3.02,3.20
"M2",0.4,10.0,16.0,29.0,0.10,0.25,3.34,4.32,1.275,1.525,0.10,3.82,4.00
"M2.5",0.45,11.0,17.0,30.0,0.10,0.25,4.34,5.45,1.575,1.825,0.10,4.82,5.00
"M3",0.5,12.0,18.0,31.0,0.15,0.40,4.84,6.01,1.875,2.125,0.10,5.32,5.50
"M3.5",0.6,13.0,19.0,32.0,0.15,0.40,5.34,6.58,2.275,2.525,0.10,5.82,6.00
"M4",0.7,14.0,20.0,33.0,0.15,0.40,6.20,7.66,2.675,2.925,0.20,6.78,7.00
"M5",0.8,16.0,22.0,35.0,0.15,0.50,7.20,8.79,3.35,3.65,0.20,7.78,8.00
"M6",1.0,18.0,24.0,37.0,0.15,0.50,8.88,11.05,3.85,4.15,0.25,9.78,10.00
"M8",1.25,22.0,28.0,41.0,0.15,0.60,11.63,14.38,5.15,5.45,0.40,12.73,13.00
"M10",1.5,26.0,32.0,45.0,0.15,0.60,14.63,17.77,6.22,6.58,0.40,15.73,16.00
"M12",1.75,30.0,36.0,49.0,0.15,0.60,16.63,20.03,7.32,7.68,0.60,17.73,18.00
"M14",2.0,34.0,40.0,53.0,0.15,0.60,19.64,23.36,8.62,8.98,0.60,20.67,21.00
"M16",2.0,38.0,44.0,57.0,0.20,0.80,22.00,26.17,9.71,10.29,0.60,23.16,24.00
"M18",2.5,42.0,48.0,61.0,0.20,0.80,24.85,29.56,11.15,11.85,0.60,26.16,27.00
"M20",2.5,46.0,52.0,65.0,0.20,0.80,27.70,32.95,12.15,12.85,0.80,29.16,30.00
"M22",2.5,50.0,56.0,69.0,0.20,0.80,31.35,37.29,13.65,14.35,0.80,33.00,34.00
"M24",3.0,54.0,60.0,73.0,0.20,0.80,33.25,39.55,14.65,15.35,0.80,35.00,36.00
"M27",3.0,60.0,66.0,79.0,0.20,0.80,38.00,45.20,16.65,17.35,1.00,40.00,41.00
"M30",3.5,66.0,72.0,85.0,0.20,0.80,42.75,50.85,18.28,19.12,1.00,45.00,46.00
"M33",3.5,78.0,78.0,91.0,0.20,0.80,46.55,55.37,20.58,21.42,1.00,49.00,50.00
"M36",4.0,84.0,84.0,97.0,0.20,0.80,51.11,60.79,22.08,22.92,1.00,53.80,55.00
"M39",4.0,90.0,90.0,103.0,0.30,1.00,55.86,66.44,24.58,25.42,1.00,58.80,60.00
"M42",4.5,96.0,96.0,109.0,0.30,1.00,59.95,71.30,25.58,26.42,1.20,63.10,65.00
"M45",4.5,102.0,102.0,115.0,0.30,1.00,64.70,76.95,27.58,28.42,1.20,68.10,70.00
"M48",5.0,108.0,108.0,121.0,0.30,1.00,69.45,82.60,29.58,30.42,1.60,73.10,75.00
"M52",5.0,116.0,116.0,129.0,0.30,1.00,74.20,88.25,32.50,33.50,1.60,78.10,80.00
"M56",5.5,137.0,137.0,137.0,0.30,1.00,78.66,93.56,34.50,35.50,2.00,82.80,85.00
"M60",5.5,145.0,145.0,145.0,0.30,1.00,83.41,99.21,37.50,38.50,2.00,87.80,90.00
"M64",6.0,153.0,153.0,153.0,0.30,1.00,88.16,104.86,39.50,40.50,2.00,92.80,95.00

"ISO4014length"
"Nominal","Min","Max"
"12",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,130.8
"150",149.2,150.8
"160",159.2,160.8
"180",179.2,180.8
"200",199.1,200.9
"220",219.1,220.9
"240",237.7,242.3
"260",219.1,220.9
"280",219.1,220.9
"300",219.1,220.9
"320",219.1,220.9
"340",219.1,220.9
"360",219.1,220.9
"380",219.1,220.9
"400",219.1,220.9
"420",219.1,220.9
"440",219.1,220.9
"460",219.1,220.9
"480",219.1,220.9
"500",496.85,503.15

"ISO4014range"
"Dia","Min_L","Max_L"
"M1.6","12","16"
"M2","16","20"
"M2.5","16","25"
"M3","20","30"
"M3.5","20","35"
"M4","25","50"
"M5","25","50"
"M6","30","130"
"M8","30","180"
"M10","35","150"
"M12","50","150"
"M14","50","160"
"M16","55","200"
"M18","70","180"
"M20","60","300"
"M22","70","220"
"M24","80","220"
"M27","90","220"
"M30","110","300"
"M33","130","320"
"M36","140","360"
"M39","150","380"
"M42","160","440"
"M45","180","440"
"M48","180","480"
"M52","200","480"
"M56","220","500"
"M60","220","500"
"M64","260","500"
