"ISO4017def"
"Dia","P","a_max","a_min","c_min","c_max","da","dw","e","k_min","k_max","k_w","r","s_min","s_max"
"M1.6",0.35,1.05,0.35,0.10,0.25,2.0,2.54,3.41,0.975,1.225,0.68,0.10,3.02,3.20
"M2",0.4,1.20,0.40,0.10,0.25,2.6,3.34,4.32,1.275,1.525,0.89,0.10,3.82,4.00
"M2.5",0.45,1.35,0.45,0.10,0.25,3.1,4.34,5.45,1.575,1.825,1.10,0.10,4.82,5.00
"M3",0.5,1.50,0.50,0.15,0.40,3.6,4.84,6.01,1.875,2.125,1.31,0.10,5.32,5.50
"M3.5",0.6,1.80,0.60,0.15,0.40,4.1,5.34,6.58,2.275,2.525,1.59,0.10,5.82,6.00
"M4",0.7,2.10,0.70,0.15,0.40,4.7,6.20,7.66,2.675,2.925,1.87,0.20,6.78,7.00
"M5",0.8,2.40,0.80,0.15,0.50,5.7,7.20,8.79,3.35,3.65,2.35,0.20,7.78,8.00
"M6",1.0,3.00,1.00,0.15,0.50,6.8,8.88,11.05,3.85,4.15,2.70,0.25,9.78,10.00
"M7",1.0,3.00,1.00,0.15,0.60,7.8,9.63,12.12,4.65,4.95,3.26,0.25,10.73,11.00
"M8",1.25,3.75,1.25,0.15,0.60,9.2,11.63,14.38,5.15,5.45,3.61,0.40,12.73,13.00
"M10",1.5,4.50,1.50,0.15,0.60,11.2,14.63,17.77,6.22,6.58,4.35,0.40,15.73,16.00
"M12",1.75,5.25,1.75,0.15,0.60,13.7,16.63,20.03,7.32,7.68,5.12,0.60,17.73,18.00
"M14",2.0,6.00,2.00,0.15,0.60,15.7,19.64,23.36,8.62,8.98,6.03,0.60,20.67,21.00
"M16",2.0,6.00,2.00,0.20,0.80,17.7,22.00,26.17,9.71,10.29,6.80,0.60,23.16,24.00
"M18",2.5,7.50,2.50,0.20,0.80,20.2,24.85,29.56,11.15,11.85,7.81,0.60,26.16,27.00
"M20",2.5,7.50,2.50,0.20,0.80,22.4,27.70,32.95,12.15,12.85,8.51,0.80,29.16,30.00
"M22",2.5,7.50,2.50,0.20,0.80,24.4,31.35,37.29,13.65,14.35,9.56,0.80,33.00,34.00
"M24",3.0,9.00,3.00,0.20,0.80,26.4,33.25,39.55,14.65,15.35,10.26,0.80,35.00,36.00
"M27",3.0,9.00,3.00,0.20,0.80,30.4,38.00,45.20,16.65,17.35,11.66,1.00,40.00,41.00
"M30",3.5,10.50,3.50,0.20,0.80,33.4,42.75,50.85,18.28,19.12,12.80,1.00,45.00,46.00
"M33",3.5,10.50,3.50,0.20,0.80,36.4,46.55,55.37,20.58,21.42,14.41,1.00,49.00,50.00
"M36",4.0,12.00,4.00,0.20,0.80,39.4,51.11,60.79,22.08,22.92,15.46,1.00,53.80,55.00
"M39",4.0,12.00,4.00,0.30,1.00,42.4,55.86,66.44,24.58,25.42,17.21,1.00,58.80,60.00
"M42",4.5,13.50,4.50,0.30,1.00,45.6,59.95,71.30,25.58,26.42,17.91,1.20,63.10,65.00
"M45",4.5,13.50,4.50,0.30,1.00,48.6,64.70,76.95,27.58,28.42,19.31,1.20,68.10,70.00
"M48",5.0,15.00,5.00,0.30,1.00,52.6,69.45,82.60,29.58,30.42,20.71,1.60,73.10,75.00
"M52",5.0,15.00,5.00,0.30,1.00,56.6,74.20,88.25,32.50,33.50,22.75,1.60,78.10,80.00
"M56",5.5,16.50,5.50,0.30,1.00,63.0,78.66,93.56,34.50,35.50,24.15,2.00,82.80,85.00
"M60",5.5,16.50,5.50,0.30,1.00,67.0,83.41,99.21,37.50,38.50,26.25,2.00,87.80,90.00
"M64",6.0,18.00,6.00,0.30,1.00,71.0,88.16,104.86,39.50,40.50,27.65,2.00,92.80,95.00

"ISO4017length"
"Nominal","Min","Max"
"2",1.8,2.2
"3",2.8,3.2
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,140.8
"150",149.2,150.8
"160",159.2,160.8
"180",179.2,180.8
"200",199.1,200.9

"ISO4017range"
"Dia","Min_L","Max_L"
"M1.6","2","16"
"M2","4","20"
"M2.5","5","25"
"M3","5","30"
"M3.5","8","35"
"M4","6","40"
"M5","8","50"
"M6","12","60"
"M7","14","60"
"M8","16","80"
"M10","20","100"
"M12","25","120"
"M14","25","140"
"M16","30","150"
"M18","35","200"
"M20","40","160"
"M22","45","200"
"M24","50","180"
"M27","50","100"
"M30","60","200"
"M33","65","200"
"M36","70","200"
"M39","80","200"
"M42","70","200"
"M45","90","200"
"M48","100","200"
"M52","100","200"
"M56","110","200"
"M60","120","200"
"M64","120","200"
