"ISO4032def"
"Dia","P","c","damax","dw","e","m_max","m_min","mw","s_nom"
"M1.6",0.35,0.2,1.84,2.4,3.41,1.30,1.05,0.8,3.2
"M2",0.4,0.2,2.3,3.1,4.32,1.60,1.35,1.1,4.0
"M2.5",0.45,0.3,2.9,4.1,5.45,2.00,1.75,1.4,5.0
"M3",0.5,0.4,3.45,4.6,6.01,2.40,2.15,1.7,5.5
"M3.5",0.6,0.4,4.0,5.0,6.58,2.80,2.55,2.0,6.0
"M4",0.7,0.4,4.6,5.9,7.66,3.20,2.90,2.3,7.0
"M5",0.8,0.5,5.75,6.9,8.79,4.70,4.40,3.5,8.0
"M6",1.0,0.5,6.75,8.9,11.05,5.20,4.90,3.9,10.0
"M8",1.25,0.6,8.75,11.6,14.38,6.80,6.44,5.2,13.0
"M10",1.5,0.6,10.8,14.6,17.77,8.40,8.04,6.4,16.0
"M12",1.75,0.6,13.0,16.6,20.03,10.80,10.37,8.3,18.0
"M14",2.0,0.6,15.1,19.6,23.36,12.80,12.10,9.7,21.0
"M16",2.0,0.8,17.3,22.5,26.75,14.80,14.10,11.3,24.0
"M18",2.5,0.8,19.5,24.9,29.56,15.80,15.10,12.1,27.0
"M20",2.5,0.8,21.6,27.7,32.95,18.00,16.90,13.5,30.0
"M22",2.5,0.8,23.7,31.4,37.29,19.40,18.10,14.5,34.0
"M24",3.0,0.8,25.9,33.3,39.55,21.50,20.20,16.2,36.0
"M27",3.0,0.8,29.1,38.0,45.2,23.80,22.50,18.0,41.0
"M30",3.5,0.8,32.4,42.8,50.85,25.60,24.30,19.4,46.0
"M33",3.5,0.8,35.6,46.6,55.37,28.70,27.40,21.9,50.0
"M36",4.0,0.8,38.9,51.1,60.79,31.00,29.40,23.5,55.0
"M39",4.0,1.0,42.1,55.9,66.44,33.40,31.80,25.4,60.0
"M42",4.5,1.0,45.4,60.0,71.3,34.00,32.40,25.9,65.0
"M45",4.5,1.0,48.6,64.7,76.95,36.00,34.40,27.5,70.0
"M48",5.0,1.0,51.8,69.5,82.6,38.00,36.40,29.1,75.0
"M52",5.0,1.0,56.2,74.2,88.25,42.00,40.40,32.3,80.0
"M56",5.5,1.0,60.5,78.7,93.56,45.00,43.40,34.7,85.0
"M60",5.5,1.0,64.8,83.4,99.21,48.00,46.40,37.1,90.0
"M64",6.0,1.0,69.1,88.2,104.86,51.00,49.10,39.3,95.0
