"ISO4034def"
"Dia","P","dw","e","m_max","m_min","mw","s_nom"
"M5",0.8,6.7,8.63,5.6,4.4,3.5,8.0
"M6",1.0,8.7,10.89,6.4,4.9,3.7,10.0
"M8",1.25,11.5,14.2,7.9,6.4,5.1,13.0
"M10",1.5,14.5,17.59,9.5,8.0,6.4,16.0
"M12",1.75,16.5,19.85,12.2,10.4,8.3,18.0
"M14",2.0,19.2,22.78,13.9,12.1,9.7,21.0
"M16",2.0,22.0,26.17,15.9,14.1,11.3,24.0
"M18",2.5,24.9,29.56,16.9,15.1,12.1,27.0
"M20",2.5,27.7,32.95,19.0,16.9,13.5,30.0
"M22",2.5,31.4,37.29,20.2,18.1,14.5,34.0
"M24",3.0,33.3,39.55,22.3,20.2,16.2,36.0
"M27",3.0,38.0,45.2,24.7,22.6,18.1,41.0
"M30",3.5,42.8,50.85,26.4,24.3,19.4,46.0
"M33",3.5,46.6,55.37,29.5,27.4,21.9,50.0
"M36",4.0,51.1,60.79,31.9,29.4,23.2,55.0
"M39",4.0,55.9,66.44,34.3,31.8,25.4,60.0
"M42",4.5,60.0,71.3,34.9,32.4,25.9,65.0
"M45",4.5,64.7,76.95,36.9,34.4,27.5,70.0
"M48",5.0,69.5,82.6,38.9,36.4,29.1,75.0
"M52",5.0,74.2,88.25,42.9,40.4,32.3,80.0
"M56",5.5,78.7,93.56,45.9,43.4,34.7,85.0
"M60",5.5,83.4,99.21,48.9,46.4,37.1,90.0
"M64",6.0,88.2,104.86,52.4,49.4,39.5,95.0
