"ISO4035def"
"Dia","P","da_max","da_min","dw","e","m_max","m_min","mw","s_nom"
"M1.6",0.35,1.84,1.6,2.54,3.41,1.0,0.75,0.6,3.2
"M2",0.4,2.3,2.0,3.34,4.32,1.2,0.95,0.76,4.0
"M2.5",0.45,2.88,2.5,4.34,5.45,1.6,1.35,1.08,5.0
"M3",0.5,3.45,3.0,4.84,6.01,1.8,1.55,1.24,5.5
"M3.5",0.6,4.03,3.5,5.34,6.58,2.0,1.75,1.4,6.0
"M4",0.7,4.6,4.0,6.2,7.66,2.2,1.95,1.56,7.0
"M5",0.8,5.75,5.0,7.2,8.79,2.7,2.45,1.96,8.0
"M6",1.0,6.75,6.0,8.88,11.05,3.2,2.9,2.32,10.0
"M7",1.0,7.75,7.0,9.63,12.12,3.7,3.4,2.72,11.0
"M8",1.25,8.75,8.0,11.63,14.38,4.0,3.7,2.96,13.0
"M10",1.5,10.8,10.0,14.63,17.77,5.0,4.7,3.76,16.0
"M12",1.75,12.96,12.0,16.63,20.03,6.0,5.7,4.56,18.0
"M14",2.0,15.12,14.0,19.64,23.36,7.0,6.42,5.14,21.0
"M16",2.0,17.28,16.0,22.49,26.75,8.0,7.42,5.94,24.0
"M18",2.5,19.44,18.0,24.85,29.56,9.0,8.42,6.74,27.0
"M20",2.5,21.6,20.0,27.7,32.95,10.0,9.1,7.28,30.0
"M22",2.5,23.76,22.0,31.35,37.29,11.0,9.9,7.92,34.0
"M24",3.0,25.92,24.0,33.25,39.55,12.0,10.9,8.72,36.0
"M27",3.0,29.16,27.0,38.0,45.2,13.5,12.4,9.92,41.0
"M30",3.5,32.4,30.0,42.75,50.85,15.0,13.9,11.12,46.0
"M33",3.5,35.64,33.0,46.55,55.37,16.5,15.4,12.32,50.0
"M36",4.0,38.88,36.0,51.11,60.79,18.0,16.9,13.52,55.0
"M39",4.0,42.12,39.0,55.86,66.44,19.5,18.2,14.56,60.0
"M42",4.5,45.36,42.0,59.95,71.3,21.0,19.7,15.76,65.0
"M45",4.5,48.6,45.0,64.7,76.95,22.5,21.2,16.96,70.0
"M48",5.0,51.84,48.0,69.45,82.6,24.0,22.7,18.16,75.0
"M52",5.0,56.16,52.0,74.2,88.25,26.0,24.7,19.76,80.0
"M56",5.5,60.48,56.0,78.66,93.56,28.0,26.7,21.36,85.0
"M60",5.5,64.8,60.0,83.41,99.21,30.0,28.7,22.96,90.0
"M64",6.0,69.12,64.0,88.16,104.86,32.0,30.4,24.32,95.0
