"ISO4162def"
"Dia","P","full_thread_len","b_1","b_2","b_3","c","d_a_F","d_a_U","d_c","d_s_max","d_s_min","d_v","d_w","e","k","k_w","l_f","r_1","r_2","r_3_max","r_3_min","r_4_ref","s_max","s_min","v_max","v_min","W_a_max","W_a_min","T_a_max","T_a_min","W_b_max","W_b_min","T_b"
"M5",0.8,25,16,0,0,1,5.7,6.2,11.4,5,4.82,5.5,9.4,7.44,5.6,2.3,1.4,0.2,0.3,0.25,0.1,4,7,6.64,0.15,0.05,8.09,8.08,2.30,2.29,7.43,7.42,3
"M6",1,30,18,0,0,1.1,6.8,7.5,13.6,6,5.82,6.6,11.6,8.56,6.8,2.9,1.6,0.25,0.4,0.26,0.11,4.4,8,7.64,0.2,0.05,9.25,9.24,2.90,2.89,8.55,8.54,3
"M8",1.25,35,22,28,0,1.2,9.2,10,17,8,7.78,8.8,14.9,10.8,8.5,3.8,2.1,0.4,0.5,0.36,0.16,5.7,10,9.64,0.25,0.1,11.56,11.55,3.80,3.79,10.79,10.78,4
"M10",1.5,40,26,32,0,1.5,11.2,12.5,20.8,10,9.78,10.8,18.7,14.08,9.7,4.3,2.1,0.4,0.6,0.45,0.2,5.7,13,12.57,0.3,0.15,15.02,15.01,4.30,4.29,14.07,14.06,4
"M12",1.75,45,30,36,0,1.8,13.7,15.2,24.7,12,11.73,12.8,22.5,16.32,11.9,5.4,2.1,0.6,0.7,0.54,0.24,5.7,15,14.57,0.35,0.15,17.33,17.32,5.40,5.39,16.31,16.30,5
"M14",2,50,34,40,0,2.1,15.7,17.7,28.6,14,13.73,14.8,26.4,19.68,12.9,5.6,2.1,0.6,0.9,0.63,0.28,5.7,18,17.57,0.45,0.2,20.79,20.78,5.60,5.59,19.67,19.66,5
"M16",2,55,38,44,57,2.4,17.7,20.5,32.8,16,15.73,17.2,30.6,22.58,15.1,6.7,3.2,0.6,1,0.72,0.32,8.8,21,20.16,0.5,0.25,24.26,24.25,6.70,6.69,22.57,22.56,6

"ISO4162length"
"nom","min","max"
"10",9.71,10.29
"12",11.65,12.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"80",79.4,80.6
"90",89.3,90.7
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,140.8
"150",149.2,150.8
"160",159.2,160.8

"ISO4162range"
"Dia","min_L","max_L"
"M5","10","50"
"M6","12","60"
"M8","16","80"
"M10","20","100"
"M12","25","120"
"M14","30","140"
"M16","35","160"
