"ISO4762def"
"Dia","P","b","dk_max","dk_min","da","ds_max","ds_min","e","lf","k_max","k_min","r","s_max","s_min","t","v","dw","w"
"M1.6",0.35,15,3.0,2.86,2.0,1.60,1.46,1.733,0.34,1.60,1.46,0.1,1.58,1.52,0.7,0.16,2.72,0.55
"M2",0.4,16,3.8,3.62,2.6,2.00,1.86,1.733,0.51,2.00,1.86,0.1,1.58,1.52,1.0,0.2,3.48,0.55
"M2.5",0.45,17,4.5,4.32,3.1,2.50,2.36,2.303,0.51,2.50,2.36,0.1,2.08,2.02,1.1,0.25,4.18,0.85
"M3",0.5,18,5.5,5.32,3.6,3.00,2.86,2.873,0.51,3.00,2.86,0.1,2.58,2.52,1.3,0.3,5.07,1.15
"M4",0.7,20,7.0,6.78,4.7,4.00,3.82,3.443,0.6,4.00,3.82,0.2,3.08,3.02,2.0,0.4,6.53,1.4
"M5",0.8,22,8.5,8.28,5.7,5.00,4.82,4.583,0.6,5.00,4.82,0.2,4.095,4.020,2.5,0.5,8.03,1.9
"M6",1.0,24,10.0,9.78,6.8,6.00,5.82,5.723,0.68,6.0,5.7,0.25,5.14,5.02,3.0,0.6,9.38,2.3
"M8",1.25,28,13.0,12.73,9.2,8.00,7.78,6.863,1.02,8.00,7.64,0.4,6.11,6.02,4.0,0.8,12.33,3.3
"M10",1.5,32,16.0,15.73,11.2,10.00,9.78,9.149,1.02,10.00,9.64,0.4,8.175,8.025,5.0,1.0,15.33,4.0
"M12",1.75,36,18.0,17.73,13.7,12.00,11.73,11.429,1.45,12.00,11.57,0.6,10.175,10.025,6.0,1.2,17.23,4.8
"M14",2.0,40,21.0,20.67,15.7,14.00,13.73,13.716,1.45,14.00,13.57,0.6,12.212,12.032,7.0,1.4,20.17,5.8
"M16",2.0,44,24.0,23.67,17.7,16.00,15.73,15.996,1.45,16.00,15.57,0.6,14.212,14.032,8.0,1.6,23.17,6.8
"M20",2.5,52,30.0,29.67,22.4,20.00,19.67,19.437,2.04,20.00,19.48,0.8,17.23,17.05,10.0,2.0,28.87,8.6
"M24",3.0,60,36.0,35.61,26.4,24.00,23.67,21.734,2.04,24.00,23.48,0.8,19.275,19.065,12.0,2.4,34.81,10.4
"M30",3.5,72,45.0,44.61,33.4,30.00,29.67,25.154,2.89,30.00,29.48,1.0,22.275,22.065,15.5,3.0,43.61,13.1
"M36",4.0,84,54.0,53.54,39.4,36.00,35.61,30.854,2.89,36.00,35.38,1.0,27.275,27.065,19.0,3.6,52.54,15.3
"M42",4.5,96,63.0,62.54,45.6,42.00,41.61,36.571,3.06,42.00,41.38,1.2,32.33,32.08,24.0,4.2,61.34,16.3
"M48",5.0,108,72.0,71.54,52.6,48.00,47.61,41.131,3.91,48.00,47.38,1.6,36.33,36.08,28.0,4.8,70.34,17.5
"M56",5.5,124,84.0,83.46,63.0,56.00,55.54,46.831,5.95,56.00,55.26,2.0,41.33,41.08,34.0,5.6,82.26,19.0
"M64",6.0,140,96.0,95.46,71.0,64.00,63.54,52.531,5.95,64.00,63.26,2.0,46.33,46.08,38.0,6.4,94.26,22.0

"ISO4762length"
"Nominal","Min","Max"
"2.5",2.3,2.7
"3",2.8,3.2
"4",3.76,4.24
"5",4.76,5.24
"6",5.76,6.24
"8",7.71,8.29
"10",9.71,10.29
"12",11.65,12.35
"14",13.65,14.35
"16",15.65,16.35
"20",19.58,20.42
"25",24.58,25.42
"30",29.58,30.42
"35",34.5,35.5
"40",39.5,40.5
"45",44.5,45.5
"50",49.5,50.5
"55",54.4,55.6
"60",59.4,60.6
"65",64.4,65.6
"70",69.4,70.6
"75",74.4,75.6
"80",79.4,80.6
"100",99.3,100.7
"110",109.3,110.7
"120",119.3,120.7
"130",129.2,130.8
"140",139.2,140.8
"150",149.2,150.8
"160",159.2,160.8
"180",179.2,180.8
"200",199.1,200.9
"220",219.1,220.9
"240",237.7,242.3
"260",259.1,260.9
"280",279.1,280.9
"300",299.1,300.9

"ISO4762range"
"Dia","Min_L","Max_L"
"M1.6","2.5","16"
"M2","3","20"
"M2.5","4","25"
"M3","5","30"
"M3.5","6","35"
"M4","6","40"
"M5","8","50"
"M6","8","60"
"M8","10","80"
"M10","16","100"
"M12","20","120"
"M14","25","140"
"M16","25","160"
"M20","16","100"
"M24","40","200"
"M30","45","200"
"M36","55","200"
"M42","60","300"
"M48","100","300"
"M56","110","300"
"M64","120","300"
